"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"1743","8876",null,"1741","1522",null,"In 1522 verleende Keizer Karel V octrooi om de datum van de jaarmarkt op zondag na Halfvasten te verschuiven naar 3 februari. Deze vrije jaarmarkt had 15 toondagen en 15 dagen vrijheid voor en na de markt. ","regional","free fair","fixed","3","2",null,null,null,"Judica",null,"-7",null,"7"
"1745","8876",null,null,"1323","1442","De jaarmarkt op St. Maria Magdalena-avond (21 juli) duurde 5 dagen. Het recht werd verleend door graaf Willem III in 1323. Stadsrekeningen melden wisselend St. Jacobsdag (25 juli) en Maria-Magdalena-avond met betrekking tot deze markt. In 1439 werd overlegd deze markt te verlengen, wat in 1443 gebeurde met 4 dagen.  ","regional",null,"fixed","21","7",null,null,null,null,null,null,null,"4"
"1747","8876",null,"1745","1443",null,"In 1443 werd de jaarmarkt op St. Maria Magdalena-avond (21 juli) verlengd met vier dagen, waardoor de totale duur 9 dagen werd.","regional",null,"fixed","21","7",null,null,null,null,null,null,null,"8"
"1749","17121",null,null,"1597",null,"Fair on Monday after Judica","local",null,"movable",null,null,null,"Monday","after","Judica",null,null,null,null
"1751","17121",null,null,"1597",null,"Fair on Monday after St Giles","local",null,"movable","1","9",null,"Monday","after","Fixed date",null,null,null,null
"1753","1036",null,null,"1200",null,"One-month fair on Sunday after Easter","interregional",null,"movable",null,null,null,"Sunday","after","Easter",null,null,null,"30"
"1755","12445",null,null,"1394",null,"Fair on St Bartholomew","local",null,"fixed","24","8",null,null,null,null,null,null,null,null
"1757","12445",null,null,"1394",null,"Fair on St Andrew&#039;s day.","local",null,"fixed","30","11",null,null,null,null,null,null,null,null
"1759","3048",null,null,"1331",null,"Fair on St Michael&#039;s Day.","local",null,"fixed","29","9",null,null,null,null,null,null,null,null
"1761","792",null,null,"1598",null,"Fair on Sunday Reminiscere","local",null,"movable",null,null,null,null,null,"Reminiscere",null,null,null,null
"1763","792",null,null,"1598",null,"Fair on Sunday Exaudi","local",null,"movable",null,null,null,null,null,"Exaudi",null,null,null,null
"1765","792",null,null,"1598",null,"Fair on St Simon and Jude&#039;s Day","local",null,"fixed","28","10",null,null,null,null,null,null,null,null
"1767","7405",null,null,"1598",null,"Fair on Sunday Exaudi","regional",null,"movable",null,null,null,null,null,"Exaudi",null,null,null,null
"1769","6880",null,null,"1598",null,"Fair on the Beheading of St John the Baptist","regional",null,"fixed","29","8",null,null,null,null,null,null,null,null
"1771","1166",null,null,"1200",null,"Fair on St Lawrence&#039;s day","local",null,"fixed","8","8",null,null,null,null,null,null,null,null
"1773","1385",null,null,"1598",null,"Fair on Sunday Invocavit","local",null,"movable",null,null,null,null,null,"Invocavit",null,null,null,null
"1775","5831",null,null,"1598",null,"Fair on Sunday Invocavit","local",null,"movable",null,null,null,null,null,"Invocavit",null,null,null,null
"1777","3880",null,null,"1598",null,"Fair on Sunday Invocavit","local",null,"movable",null,null,null,null,null,"Invocavit",null,null,null,null
"1779","5297",null,null,"1598",null,"Fair on Sunday Invocavit","local",null,"movable",null,null,null,null,null,"Invocavit",null,null,null,null
"1781","2423",null,null,"1598",null,"Fair on Sunday Letare","local",null,"movable",null,null,null,null,null,"Letare",null,null,null,null
"1783","2423",null,null,"1598",null,"Fair on the Assumption of Mary","local",null,"fixed","15","8",null,null,null,null,null,null,null,null
"1789","1615",null,null,"1311",null,"Single-day fair on St. Victor&#039;s Day","local",null,"fixed","10","10",null,null,null,null,null,null,null,null
"1791","1615",null,null,"1326",null,"Single-day fair on New Year&#039;s Day","local",null,"fixed","1","1",null,null,null,null,null,null,null,null
