"id","fairid","language","description"
"270","248","deu","Vierwöchiger Frühjahrsmarkt nach Misericordia Domini bis Pfingsten, gewährt durch König Ludwig den Bayern 1331."
"272","250","deu","Dreiwöchiger Dreifaltigkeitsmarkt, vom Kaiser Friedrich IV. 1473 verliehen."
"274","252","deu","Der Frühjahrsmarkt wurde 1497 vom Kaiser Maximilian auf Pfingsten verlegt und auf zwei Wochen beschränkt."
"276","254","deu","Der Dreifaltigkeitsmarkt wurde 1497 vom Kaiser Maximilian auf St. Martin verlegt und auf zwei Wochen beschränkt."
"278","256","deu","Fastenmesse, 1330 von Kaiser Ludwig dem Bayer priviligiert und von achttägigen Geleitschutz vor und nach der Messe versehen. 1349 ist noch von einem ungenauen Termin von 14 Tagen um Mittfasten die Rede, 1366 wird es genauer von Sonntag Oculi bis Judica definiert."
"2037","1942","fin","Tornionjoen suun markkinap&auml;iv&auml; oli jo keskiajalla 1519 juhannus (24.6.), mutta 1649 kaupungin porvarit anoivat sen siirtoa kahdeksanteen p&auml;iv&auml;&auml;n ennen juhannusta."
"2038","1943","fin","Kalajoen Henrikinp&auml;iv&auml;n (20.1.) markkinat annettiin 1621 Kokkolan yksinoikeudeksi. Vuonna 1622 kuningas vahvisti Kokkolan ja Oulun oikeudet Kalajoella pyh&auml;n Rikin p&auml;iv&auml;n&auml; 18.5. ja Laurentiuksena 10.8. pidettyihin markkinoihin."
"284","262","deu","1035 wurde ein Jahrmarkt an den sieben Tagen vor Pfingsten priviligiert. Das Privileg für die Kramer von 1339 erwähnt die acht Tage ab Pfingsten."
"286","264","deu","Als Beginn des achttägigen Frühjahrsmarktes wurde 1382 Sonntag nach Fronleichnam erwähnt. 1638 wurde dieser Markt durch zwei neue ersetzt."
"288","266","deu","Der Herbstjahrmarkt wurde 1382 in der Woche nach St. Dionysius erwähnt."
"2041","1946","fin","Pori sai 1602 ja 1604 oikeudet kolmiin markkinoihin, joista yhdet pidettiin kaupungissa apostoli Bartolomeuksen juhlana (24.8.) ja mainitaan almanakoissa 1585 ja 1598."
"2042","1947","fin","Pori sai 1602 ja 1604 oikeudet kolmiin markkinoihin, joista yhdet pidettiin kaupungissa apostoli Bartolomeuksen juhlana (24.8.) ja muut kaksi pidettiin kynttil&auml;np&auml;iv&auml;n&auml; (2.2.) Pirkkalan Harjussa ja Laurentiuksen p&auml;iv&auml;n&auml; (10.8.) Ulvilan (Nakkilan) Lammaisissa."
"2043","1948","fin","Rauman kynttil&auml;np&auml;iv&auml;n markkinat mainitaan 1585 ja 1598, ja ne vahvistettiin 1607. Vuonna 1624 talvimarkkinoiden ajankohta siirrettiin Paavalinp&auml;iv&auml;&auml;n (25.1.)."
"2047","1952","fin","M&auml;nn&auml;isiss&auml; pidettiin vanhastaan pyh&auml;n Olavin (29.7.) vuotuismarkkinat."
"2048","1953","nld","Jaarmarkt op donderdag na Pasen."
"2060","1966","nld","Driedaagse jaarmarkt op St. Hubertus."
"2061","1967","fin","Varhaisin tieto Perni&ouml;n Laurentiuksen (10.8.) markkinoista on vuodelta 1599, mutta ne takautuvat keskiaikaan."
"236","214","deu","Jahrmarkt am St. Dionysius."
"314","294","deu","Jahrmarkt an Mariä Himmelfahrt in der Neustadt."
"316","296","deu","Jahrmarkt am St. Vitus in der Neustadt. Anschließend fand ein wahrscheinlich achttägiger Pferdemarkt statt."
"318","298","deu","Jahrmarkt an St. Felicianus in der Altstadt, keine Gründung bekannt, aber geht möglich ins 11. Jh. zurück. Anschließend fand ein wahrscheinlich achttägiger Pferdemarkt statt."
"320","300","deu","Dreiwochige Pfingstmesse, durch Kaiser Karl IV. 1365 gegründet, die zu großem Widerstand führte. Fünf Jahre nach dem Tode des Kaisers wurde der Markt eingestellt."
"322","302","deu","Achttägiger Pferdemarkt am Sonntag nach Fasten."
"324","304","deu","Viertägiger Pferdemarkt drei Wochen vor Sonntag Estomihi."
"326","306","deu","Viertägiger Pferdemarkt am Sonntag Oculi."
"330","310","deu","Viertägiger Pferdemarkt am Tag aller Apostel."
"332","312","deu","Der Vitusjahrmarkt wurde 1619 mit einem Viehmarkt auf 3 Tage ausgedehnt."
"334","314","deu","Der Gallusjahrmarkt wurde 1619 mit einem Viehmarkt auf 3 Tage ausgedehnt."
"1966","1883","deu","Vieh- und Jahrmarkt am Samstag nach Laurentius."
"1975","1190","deu","Jahrmarkt am Sonntag nach Bartholom&auml;i."
