"id","nodesid","language","pertainsto","description"
"21871","18132","fin","settlement","Uusikaupunki (r. Nystad) perustettiin kolmen Kalannin (vuoteen 1936 Uusikirkko, Turun l&auml;&auml;ni, r. Kaland, Nykyrka) pit&auml;j&auml;&auml;n kuuluneen keskiaikaisen kyl&auml;n alueelle (Ruokola, Pietil&auml; M&auml;h&ouml;l&auml;). Uusikaupunki erosi Kalannista omaksi seurakunnakseen 1622."
"21989","18142","fin","city","Raahen (r. Brahestad) kaupunginoikeudet annettiin ensin 1649 Satamalahdessa olleelle Saloksi nimitetylle kaupungille, mutta paikka siirrettiin sitten Fantinniemelle ja nimeksi tuli kaupungin perustaneen kenraalikuvern&ouml;&ouml;ri Pietari Brahen mukaan 1652 Brahestad. Kaupunkialueen ensimm&auml;inen suunnitelma on vuodelta 1650."
"22621","19969","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Pohjan kyl&auml;ss&auml; on todenn&auml;k&ouml;isesti ollut jo 1400-luvun lopulla krouvi samannimisess&auml; talossa (Krog). Vuonna 1500 Tallinnan raadille saapuneen kirjeen mukaan Raaseporin seudulta kotoisin oleva Margaretha Kroges ja t&auml;m&auml;n kaksi siskoa valtuuttivat Hinrik Krochin hoitamaan asiaansa Tallinnassa. Vuoden 1545-1550 luettelon mukaan Raaseporin Pohjassa oli krouvi, joka palveli sek&auml; maalla ett&auml; merell&auml; liikkuvia. Vuonna 1556 kannettujen krouvirahojen perusteella Pohjassa oli kaksi krouvia, joista toinen piti Erik i Krogen. Vuonna 1599 Elin-rouva kestitti ven&auml;l&auml;isi&auml; l&auml;hettil&auml;it&auml; Br&ouml;dtorpin kyl&auml;ss&auml;, joka on n. 3 km luoteeseen. My&ouml;s Pohjan pappilassa kestitettiin kaikenlaisia kruunun vieraita, mist&auml; he saivat my&ouml;s korvauksia. Vuonna 1623 pappilassa y&ouml;pyi my&ouml;s kaksi markkinoille tullutta talonpoikaa, jotka joutuivat tappeluun kesken&auml;&auml;n. "
"22623","19971","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Krootilan kyl&auml; on saanut nimens&auml; keskiaikaisesta krouvista. Se on mahdollisesti Perni&ouml;ss&auml; mainittu Bondhekrogen."
"13210","2100","nld","settlement","Vroegste vermelding in 1057, in een kopie uit de veertiende eeuw. "
"7034","5424","nld","city","Stadsrechten verleend op 27 maart 1413 door Reinoud IV, hertog van Gelre."
"5148","4130","nld","fair","Kuinre had tenminste vanaf 1385 een eigen jaarmarkt, maar het is onbekend wanneer die plaatsvond. In 1448 was er een jaarmarkt van 4 dagen met Allerheiligen (1 nov.) en er was toen een waag op de dijk."
"7072","8774","nld","city","Stadsrechten verleend op 24 januari 1487 door Johan II, hertog van Kleef en graaf van Mark. Zevenaar wordt getypeerd als stad van het type &#039;minderstad&#039;."
"7074","1484","nld","settlement","De oudste vermelding dateert van 1025."
"7076","1484","nld","city","De oudste vermelding als oppidum dateert waarschijnlijk van 1204 of 1230. Verlening van stadsrechten op 19 september 1237 door Otto II, graaf van Gelre. In 1329 wordt voor het eerst een stadsraad en burgemeester vermeld."
"7078","296","nld","settlement","Oudste vermelding dateert van 893. Voor de 13e eeuw bestonden er in Arnhem domeinen in bezit van de kloosters Pr&uuml;m en Elten en de graaf van Gelre."
"13212","4790","nld","settlement","Vroegste vermelding in 1344."
"5906","1521","nld","staple","Graaf Jan van Holland stelde in 1298 een stapelmarkt voor haver in, die in 1299 uitgebreid werd voor alle handelswaren op de Merwede en Lek, bevestigd in 1304. Vanaf 1338 bestond er een verplichte markt voor alle schepen die uit het oosten naar de Maas kwamen. De stapel voor rijnafwaarts verscheepte wijnen van acht dagen, in 1324 ingesteld, werd in 1401 een algemene wijnstapel. In 1355 werd in Dordrecht een zoutstapel gelegd door hertog Willem V. De Sint-Elisabethsvloed (1421) bemoeilijkte het handhaven van de stapelrechten, aangezien Dordrecht nu op een eiland lag en daardoor makkelijker omvaren kon worden. In 1441 moesten stroomafwaarts vervoerde goederen met overzeese bestemming alleen nog omgeladen en niet meer op de markt gebracht worden. Hanzestapel voor Rijnwijn in 1452, samen met Antwerpen; stapel voor wijn en zout uit Holland en Friesland in 1453. In de 16e eeuw namen conflicten met andere steden om de stapel toe: in 1533 werd Middelburg van de stapel in Dordrecht vrijgesteld. In 1540 werd de stapel nog door de keizer bekrachtigd, maar het volgende jaar sterk beperkt: er bestond nu alleen nog een stapelplicht voor graan, peulvruchten, zout, wijn, kalk, kolen, molenstenen en ijzer die op de Lek, Merwede en Maas vervoerd werden. Ondanks toenemende conflicten en ontduikingen van de stapel is hij nog tot 1670 traceerbaar.In 1377 werd bepaald dat alle turf gewonnen in de Grote Waard in de stad op de markt verhandeld moest worden.  In 1442 werd dat bepaald voor alle zuivel uit Zuidholland. In 1520 werd het zgn. &#039;Octrooi Serviel&#039; verkregen van koning Karel V waardoor van de 40 dorpen die rond de stad in het middeleeuwse Zuidholland resteerden na de St. Elisabethsvloed er 25 onderworpen waren aan marktdwang (verplicht hun agrarische producten in Dordrecht op de markt te brengen), de overige 15 dienden slechts accijnzen van bier te betalen en te helpen bij het verdiepen van de haven. In 1553-&#039;57 liep er een proces van de overige steden in Zuidholland (Schoonhoven, Gorcum en Rotterdam) en enkele ambachtsheren tegen dit marktrecht maar in 1562 werd het voor 25 jaar verlengd, in 1589 werd het echter ongeldig verklaard."
"6008","6477","nld","staple","Roermond kreeg in 1372 een achtdaags stapelrecht voor allen buiten Gelre en Gulik op goederen die over de Maas werden vervoerd. Het stapelrecht werd in 1523 naar Venlo verplaatst. Het is zeer de vraag in hoeverre de stapel van Roermond werkzaam was.In 1578 geeft Filips II een  privilege dat in het ambt Montfort slechts in Roermond opslag van mergel, kalk en steenkool mag plaatsvinden."
"7022","2862","nld","settlement","Oudste vermelding dateert van ca. 800."
"7024","2862","nld","city","De oorkonde van stadsrechtverlening is niet bewaard gebleven. Algemeen wordt ervan uitgegaan dat tussen 25 september en 31 oktober 1299 stadsrechten zijn verleend door Reinoud I, graaf van Gelre."
"7026","1753","nld","settlement","Oudste vermelding dateert van 1190."
"7028","2807","nld","settlement","Oudste vermelding uit 1231, bij de stadsrechtverlening. Een verspreid liggende agrarische nederzetting is uit de 12e eeuw bekend."
"13232","2393","nld","settlement","Vroegste vermelding in 1116, in een zestiende-eeuwse kopie."
"7030","2807","nld","city","Aan het eind van de 12e eeuw was door grote stormvloeden de Zuiderzee ontstaan en Harderwijk kwam aan de kust te liggen, wat tot een snelle ontwikkeling als havenstad leidde. Stadsrechten werden verleend op 11 juni 1231 door Otto II, graaf van Gelre en Zutphen."
"7032","5424","nld","settlement","Oudste vermelding dateert van 1333-1334. Het dorp werd verwoest in 1412. In het jaar erna ontvingen de inwoners stadsrechten; de nederzetting werd herbouwd."
"7036","4533","nld","settlement","De oudste vermelding dateert van 1059, in een vervalste oorkonde van ca. 1180-1190."
"7038","4533","nld","city","Stadsrechten verleend op 9 juli 1233, door Otto II, graaf van Gelre en Zutphen."
"22112","17598","nld","settlement","De heren van Enghien bouwden in de 11e eeuw een mottekasteel, waarbij zich een nederzetting ontwikkelde."
"22051","18248","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Vehkaladelle Summan kyl&auml;&auml;n. Samassa talossa toimi my&ouml;s nimismiestalo."
