"id","parentid","name","latitude","longitude","links","zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Gregorian_Calendar","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Primary_Owner","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","ready"
"19620",null,null,"55.394919","13.122622",null,"15",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"19758",null,null,"51.194305","16.502302",null,"11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5623",null,"Oldenburg (Oldenburg)","53.138916","8.214479","gn:6552850;wd:Q32206838;wd:Q32206838;viaf:205755329","8","y","1150",null,"Residence of the counts of Oldenburg from ca. 1150.","y","1345",null,"Bremen town privileges were granted in 1345, but the settlement already had an urban character before: fairs and burghers are first mentioned in 1243, a magistrate court around 1300, and a council and town seal in 1307.","y","1243",null,null,"Two fairs in Oldenburg are mentioned in an agreement between Oldenburg and Bremen from 1243, on St Vitus and St Margaret. These two markets are also mentioned in 1307, together with a fair on St Lambert (17-9), and in the town privileges from 1345, no less than seven fairs are mentioned. However, it is the question whether these were organised for a long time: in the 15th century, only St Vitus&#039;s and St Margaret&#039;s fairs are still mentioned. In the &quot;Verordnung wegen der Oldenburger Krahmer-Marckte&quot; from 1608, it is mentioned that there were four traditional fairs. However, older evidence for the two additional markets, on St Michael and Quasimodogeniti, is not known.","y","1243",null,"Graf von Oldenburg","An agreement from 1243 grants merchants from Bremen exemption from tollsin Oldenburg and free conduct. Oldenburg citizens complained in 1383 that the Count had increased the tolls to be paid by citizens from Bremen, Wildeshausen and Friesoythe. More specific toll amounts are known from the 15th century (1428) for beer, salt, oil, corn and other commodities.",null,null,null,null,"y","1243",null,null,"An agreement with Bremen limited the trade of merchants from Bremen and Westfalia in Oldenburg to the fairs on St Vitus and St Margaret. This restriction was removed in 1278, but there still existed the obligation for external merchants travelling through town to offer their commodities for sale on the market.",null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5626",null,"Oldendorf (Luhe)","53.153766","10.214122","gn:2857438;wd:Q32206933;wd:Q32206933","11","y","1406",null,"First mentioned in 1406; a water mill is mentioned in 1511.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5627",null,"Oldenrode","51.815233","10.111542","gn:2857413;wd:Q1369800","13","y","1302",null,"The settlement was first mentioned in 1302.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5628",null,"Oldenstadt","52.970442","10.592199","gn:2857412;wd:Q18026474;viaf:243884520;gnd:4786267-1","12","y","973",null,"Bishop Bruno of Verden founded a house of canonesses before 973, around which a settlement developed. In 1133/37 the monastery was converted into a Benedictine monastery by monks from Corvey. Around 1260 the settlement was moved 2 km to the west bank of the Ilmenau and became the town of Uelzen. The monastery remained at the original location and became known as Oldenstadt. It owned several properties in and around Uelzen as well as shares in the L&uuml;neburg saltworks. The monastery was abolished after the Reformation in 1529.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5694",null,"Osdorf","53.572867","9.846754","gn:2856915;wd:Q1600;wd:Q1600;gnd:4796987-8;viaf:134878502;loc:n81085537","12","y","1268",null,"First mentioned in 1268.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5695",null,"Oserdów","50.422021","23.983482","gn:763020;wd:Q7106493;wd:Q7106493","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5696",null,"Osiecz Wielki","52.437169","18.899696","gn:3089927;wd:Q7106693;wd:Q7106693","10",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5630",null,"Oldenzaal","52.312104","6.927801","gn:2749644;wd:Q13188727;wd:Q13188727;loc:n85255500;viaf:131420488","9","y","806",null,"Earliest mention dates from 806-809.","y","1249",null,"Borough (&#039;wigbold&#039;) privileges were granted by bishop Otto III of Utrecht between 1 February 1233 and 27 March 1249. Later Oldenzaal must have acquired full town rights, although the exact year is unknown.","y","1049",null,null,"Oldenzaal acquired market privileges from the bishop of Utrecht in 1049. It included the right to hold a weekly market on Thursdays and a five-day fair around the Dedication day of the church (21 September).",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
