"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"A. Indtægt (Lambert Ebbesen og Willem Willemsen) 1660","259148","48359542","119","6","48359640","119","104"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1660","259149","48359641","119","105","48359725","119","189"
"C. Indtægt (Michel Hansen og Fadder Davidsen) 1660","119190","0","119","190","0","119","258"
"Indtægt og udgift (Tolderne) 1660","119259","0","119","259","0","119","288"
"Udgiftsbilag 1660","119289","0","119","289","0","119","412"
"Udgiftsbilag 1660","120006","0","120","6","0","120","309"
"A. Indtægt (Lambert Ebbesen og Willem Willemsen) 1661","120310","0","120","310","0","120","450"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1661","120451","0","120","451","0","120","530"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1661","121006","0","121","6","0","121","28"
"C. Indtægt (Michel Hansen og Fadder Davidsen) 1661","121029","0","121","29","0","121","135"
"Indtægt og udgift (Tolderne) 1661","121136","0","121","136","0","121","170"
"Udgiftsbilag 1661","121171","0","121","171","0","121","546"
"Udgiftsbilag 1661","122006","0","122","6","0","122","30"
"A. Indtægt (Lambert Ebbesen og Willem Willemsen) 1662","122031","0","122","31","0","122","184"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1662","122185","0","122","185","0","122","307"
"C. Indtægt (Michel Hansen) 1662","122308","0","122","308","0","122","414"
"Indtægt og udgift (Tolderne) 1662","122415","0","122","415","0","122","445"
"Udgiftsbilag 1662","122446","0","122","446","0","122","523"
"Udgiftsbilag 1662","123006","0","123","6","0","123","298"
"A. Indtægt (Lambert Ebbesen og Willem Willemsen) 1663","123299","0","123","299","0","123","447"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1663","123448","0","123","448","0","123","530"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1663","124006","0","124","6","0","124","58"
"C. Indtægt (Michel Hansen) 1663","124059","0","124","59","0","124","195"
"Indtægt og udgift (Tolderne) 1663","124196","0","124","196","0","124","229"
"Udgiftsbilag 1663","124230","0","124","230","0","124","540"
"Udgiftsbilag 1663","125007","0","125","7","0","125","237"
"A. Indtægt (Lambert Ebbesen og Willem Willemsen) 1664","125238","0","125","238","0","125","377"
"B. Indtægt (Anders Nielsen og Seneca Carstenen) 1664","125378","0","125","378","0","125","501"
"C. Indtægt (Michel Hansen) 1664","126006","0","126","6","0","126","144"
"Indtægt og udgift (Tolderne) 1664","126145","0","126","145","0","126","163"
"Udgiftsbilag 1664","126164","0","126","164","0","126","484"
"A. Indtægt (Willem Willemsen og Lambert Ebbesen) 1665","126485","0","126","485","0","126","528"
"A. Indtægt (Willem Willemsen og Lambert Ebbesen) 1665","127006","0","127","6","0","127","44"
"Indtægt (Seneca Carstenen og Anders Nielsen) 1665","127045","0","127","45","0","127","137"
"Indtægt (Michel Hansen) 1665","127138","0","127","138","0","127","221"
"Toldregnskab Udgift med bilag 1665","127222","0","127","222","0","127","319"
"Indtægt (Willem Willemsen og Lambert Ebbesen) 1666","127320","0","127","320","0","127","441"
"Indtægt (Seneca Carstenen og Anders Nielsen) 1666","128006","0","128","6","0","128","134"
"Indtægt (Michel Hansen) 1666","128135","0","128","135","0","128","235"
"Udgiftsregnskab med bilag 1666","128236","0","128","236","0","128","305"
"Indtægt (Willem Willemsen og Lambert Ebbesen) 1667","128306","0","128","306","0","128","438"
"Indtægt (Michel Hansen og Anders Nielsen) 1667","128439","0","128","439","0","128","536"
"Indtægt (Michel Hansen og Anders Nielsen) 1667","129007","0","129","7","0","129","101"
"Udgiftsregnskab med bilag 1667","129102","0","129","102","0","129","193"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1668","129194","0","129","194","0","129","417"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1668","129418","0","129","418","0","129","435"
"Indtægt (Michel Hansen og Isbrandt von Holten) 1668","129436","0","129","436","0","129","478"
"Indtægt (Michel Hansen og Isbrandt von Holten) 1668","130006","0","130","6","0","130","173"
"Udgiftsregnskab med bilag 1668","130174","0","130","174","0","130","466"
"Indtægt (Michel Hansen og Isbrandt von Holten) 1669","130467","0","130","467","0","130","529"
"Indtægt (Michel Hansen og Isbrandt von Holten) 1669","131006","0","131","6","0","131","172"
"Indtægt (Lambert Ebbesen og Anders Nielsen) 1669","131173","0","131","173","0","131","402"
"Udgifstregnskab med bilag 1669","131403","0","131","403","0","131","536"
"Udgiftsregnskab med bilag 1669","132006","0","132","6","0","132","70"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1670","132071","0","132","71","0","132","287"
"Indtægt (Isbrandt von Holten og Michel Hansen) 1670","132288","0","132","288","0","132","536"
"Udgiftsregnskab med bilag 1670","133006","0","133","6","0","133","86"
"Indtægt (Lambert Ebbesen og Anders Nielsen) 1671","133087","0","133","87","0","133","300"
"Indtægt (Michel Hansen og Isbrandt von Holten) 1671","133301","0","133","301","0","133","533"
"Udgiftsregnskab med bilag 1671","134006","0","134","6","0","134","127"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1672","134128","0","134","128","0","134","244"
"Indtægt (Isbrandt von Holten og Michel Hansen) 1672","134245","0","134","245","0","134","377"
"Udgiftsregnskab med bilag 1672","134378","0","134","378","0","134","446"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1673","134447","0","134","447","0","134","520"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1673","135006","0","135","6","0","135","73"
"Indtægt (Isbrandt von Holten og Michel Hansen) 1673","135074","0","135","74","0","135","192"
"Udgiftsregnskab med bilag 1673","135193","0","135","193","0","135","237"
"Indtægt (Lambert Ebbesen og Anders Nielsen) 1674","135238","0","135","238","0","135","439"
"Indtægt (Isbrandt von Holten og Michel Hansen) 1674","135440","0","135","440","0","135","538"
"Indtægt (Isbrandt von Holten og Michel Hansen) 1674","136006","0","136","6","0","136","120"
"Udgiftsregnskab med bilag 1674","136121","0","136","121","0","136","220"
"Indtægt (Anders Nielsen og Lambert Ebbesen) 1675","136221","0","136","221","0","136","398"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1675","136399","0","136","399","0","136","532"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1675","137006","0","137","6","0","137","95"
"Udgiftsregnskab med bilag 1675","137096","0","137","96","0","137","233"
"Indtægt (Lambert Ebbesen og Anders Nielsen) 1676","137234","0","137","234","0","137","415"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1676","137416","0","137","416","0","137","479"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1676","138006","0","138","6","0","138","109"
"Udgiftsregnskab med bilag 1676","138110","0","138","110","0","138","177"
"Indtægt (Anders Nielsen og Lambert Ebbesen, og siden Hans søn Johan Lambertsen) 1677","138178","0","138","178","0","138","378"
"Indtægt (Laurids Sørensen og Isbrandt von Holten) 1677","138379","0","138","379","0","138","528"
"Indtægt (Laurids Sørensen og Isbrandt von Holten) 1677","139006","0","139","6","0","139","25"
"Udgiftsregnskab med bilag 1677","139026","0","139","26","0","139","101"
"Indtægt (Johan Lambertsen og Anders Nielsen) 1678","139102","0","139","102","0","139","287"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1678","139288","0","139","288","0","139","472"
"Udgiftsregnskab med bilag 1678","139473","0","139","473","0","139","542"
"Indtægt (Christian Falk og Anders Nielsen) 1679","140006","0","140","6","0","140","233"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1679","140234","0","140","234","0","140","466"
"Udgiftsregnskab med bilag 1679","140467","0","140","467","0","140","563"
"Indtægt (Christian Falk og Anders Nielsen) 1680","140564","0","140","564","0","140","595"
"Indtægt (Christian Falk og Anders Nielsen) 1680","141006","0","141","6","0","141","231"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1680","141232","0","141","232","0","141","478"
"Udgiftsregnskab med bilag 1680","141479","0","141","479","0","141","543"
"Indtægt (Anders Nielsen og Christian Falk) 1681","142006","0","142","6","0","142","298"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1681","142299","0","142","299","0","142","542"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1681","143006","0","143","6","0","143","82"
"Udgiftsregnskab med bilag 1681","143083","0","143","83","0","143","163"
"Indtægt (Anders Nielsen og Christian Falk) 1682","143164","0","143","164","0","143","469"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1682","143470","0","143","470","0","143","549"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1682","144006","0","144","6","0","144","244"
"Udgiftsregnskab med bilag 1682","144245","0","144","245","0","144","366"
"Indtægt (Anders Nielsen og Christian Falk) 1683","144367","0","144","367","0","144","534"
"Indtægt (Anders Nielsen og Christian Falk) 1683","145006","0","145","6","0","145","193"
"Indtægt (Isbrandt von Holten og Laurids Sørensen) 1683","145194","0","145","194","0","145","559"
"Udgiftsregnskab med bilag 1683","146006","0","146","6","0","146","72"
"Indtægt (Anders Nielsen og Christian Falk) 1684","146073","0","146","73","0","146","422"
"Indtægt (Laurids Sørensen og Isbrandt von Holten) 1684","146423","0","146","423","0","146","550"
"Indtægt (Laurids Sørensen og Isbrandt von Holten) 1684","147006","0","147","6","0","147","209"
"Udgiftsregnskab med bilag 1684","147210","0","147","210","0","147","280"
"Indtægt (Anders Nielsen og Christian Falk) 1685","147281","0","147","281","0","147","545"
"Indtægt (Anders Nielsen og Christian Falk) 1685","148006","0","148","6","0","148","114"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1685","148115","0","148","115","0","148","472"
"Udgiftsregnskab med bilag 1685","148473","0","148","473","0","148","549"
"Indtægt (Anders Nielsen og Christian Falk) 1686","149006","0","149","6","0","149","384"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1686","149385","0","149","385","0","149","519"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1686","150006","0","150","6","0","150","242"
"Udgiftsregnskab med bilag 1686","150243","0","150","243","0","150","349"
"Indtægt (Christian Falk og Anders Nielsen) 1687","150350","0","150","350","0","150","543"
"Indtægt (Christian Falk og Anders Nielsen) 1687","151006","0","151","6","0","151","157"
"Indtægt (Jacob Schmit og Laurids Sørensen) 1687","151158","0","151","158","0","151","512"
"Udgiftsregnskab med bilag 1687","152006","0","152","6","0","152","78"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1688","152079","0","152","79","0","152","418"
"Indtægt (Christian Falk og Johan Chr. Ziege) 1688","152419","0","152","419","0","152","528"
"Indtægt (Christian Falk og Johan Chr. Ziege) 1688","153006","0","153","6","0","153","212"
"Udgiftsregnskab med bilag 1688","153213","0","153","213","0","153","271"
"Indtægt (Christian Falk og J. C. Ziege) 1689","153272","0","153","272","0","153","522"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1689","153523","0","153","523","0","153","545"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1689","154006","0","154","6","0","154","223"
"Udgiftsregnskab med bilag 1689","154224","0","154","224","0","154","273"
"Indtægt (Christian Falk og J. C. Ziege) 1690","154274","0","154","274","0","154","494"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1690","154495","0","154","495","0","154","536"
"Indtægt (Laurids Sørensen og Jacob Schmit) 1690","155006","0","155","6","0","155","186"
"Udgiftsregnskab med bilag 1690","155187","0","155","187","0","155","241"
"Indtægt (Johan Chr. Ziege) 1691","155242","0","155","242","0","155","484"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1691","155485","0","155","485","0","155","528"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1691","156006","0","156","6","0","156","213"
"Udgiftsregnskab med bilag 1691","156214","0","156","214","0","156","289"
"Indtægt (J. C. Ziege og Melchior Daniel Günther) 1692","156290","0","156","290","0","156","537"
"Indtægt (J. C. Ziege og Melchior Daniel Günther) 1692","157006","0","157","6","0","157","20"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1692","157021","0","157","21","0","157","294"
"Udgiftsregnskab med bilag 1692","157295","0","157","295","0","157","357"
"Indtægt (J. C. Ziege og M. D. Günther) 1693","157358","0","157","358","0","157","533"
"Indtægt (J. C. Ziege og M. D. Günther) 1693","158006","0","158","6","0","158","98"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1693","158099","0","158","99","0","158","425"
"Udgiftsregnskab med bilag 1693","158426","0","158","426","0","158","488"
"Indtægt (J. C. Ziege og M. D. Günther) 1694","158489","0","158","489","0","158","527"
"Indtægt (J. C. Ziege og M. D. Günther) 1694","159006","0","159","6","0","159","278"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1694","159279","0","159","279","0","159","520"
"Udgiftsregnskab med bilag 1694","159521","0","159","521","0","159","548"
"Udgiftsregnskab med bilag 1694","160006","0","160","6","0","160","21"
"Indtægt (J. C. Ziege og M. D. Günther) 1695","160022","0","160","22","0","160","277"
"Indtægt (Laurids Sørensen og Rasmus Knudsen) 1695","160278","0","160","278","0","160","530"
"Udgiftsregnskab med bilag 1695","161006","0","161","6","0","161","50"
"Indtægt (J. C. Ziege og M. D. Günther) 1696","161051","0","161","51","0","161","262"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1696","161263","0","161","263","0","161","448"
"Udgiftsregnskab med bilag 1696","161449","0","161","449","0","161","490"
"Indtægt (J. C. Ziege og M. D. Günther) 1697","162006","0","162","6","0","162","205"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1697","162206","0","162","206","0","162","377"
"Udgiftsregnskab med bilag 1697","162378","0","162","378","0","162","413"
"Indtægt (J. C. Ziege og M. D. Günther) 1698","162414","0","162","414","0","162","522"
"Indtægt (J. C. Ziege og M. D. Günther) 1698","163006","0","163","6","0","163","196"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1698","163197","0","163","197","0","163","439"
"Udgiftsregnskab med bilag 1698","163440","0","163","440","0","163","544"
"Indtægts- og udgiftsregnskaber 1687 - 1698","164006","0","164","6","0","164","122"
"Indtægt (J. C. Ziege og M. D. Günther) 1699","164123","0","164","123","0","164","398"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1699","164399","0","164","399","0","164","533"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1699","165006","0","165","6","0","165","122"
"Udgiftsregnskab med bilag 1699","165123","0","165","123","0","165","182"
"Indtægt (J. C. Ziege og M. D. Günther) 1700","165183","0","165","183","0","165","408"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1700","165409","0","165","409","0","165","532"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1700","166006","0","166","6","0","166","86"
"Udgiftsregnskab med bilag 1700","166087","0","166","87","0","166","152"
"Indtægt (J. C. Ziege og M. D. Günther) 1701","166153","0","166","153","0","166","398"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1701","166399","0","166","399","0","166","517"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1701","167006","0","167","6","0","167","70"
"Udgiftsregnskab med bilag 1701","167071","0","167","71","0","167","91"
"Indtægt (J. C. Ziege og M. D. Günther) 1702","167092","0","167","92","0","167","301"
"Indtægt (Rasmus Knudsen og Peder Bülge) 1702","167302","0","167","302","0","167","451"
"Udgiftsregnskab med bilag 1702","167452","0","167","452","0","167","472"
"Indtægt (Rasmus Knudsen og J. C. Ziege) 1703","167473","0","167","473","0","167","519"
"Indtægt (Rasmus Knudsen og J. C. Ziege) 1703","168006","0","168","6","0","168","155"
"Indtægt (M. D. Günther og Peder Bülge) 1703","168156","0","168","156","0","168","360"
"Indtægt (Rasmus Knudsen og J. C. Ziege) 1704","168361","0","168","361","0","168","533"
"Indtægt (Rasmus Knudsen og J. C. Ziege) 1704","169006","0","169","6","0","169","73"
"Indtægt (M. D. Günther og Peder Bülge) 1704","169074","0","169","74","0","169","335"
"Indtægt (J. C. Ziege og Rasmus Knudsen) 1705","169336","0","169","336","0","169","547"
"Indtægt (Peder Bülge og M. D. Günther) 1705","170006","0","170","6","0","170","258"
"Udgiftsregnskab med bilag 1703 - 1705","170259","0","170","259","0","170","291"
"Indtægt (J. C. Ziege og Martin Aspach) 1706","170292","0","170","292","0","170","499"
"Indtægt (M. D. Günther og Peder Bülge) 1706","170500","0","170","500","0","170","540"
"Indtægt (M. D. Günther og Peder Bülge) 1706","171006","0","171","6","0","171","214"
"Indtægt (J. C. Ziege og Martin Aspach) 1707","171215","0","171","215","0","171","402"
"Indtægt (M. D. Günther og Adolf Rümpler) 1707","171403","0","171","403","0","171","534"
"Indtægt (M. D. Günther og Adolf Rümpler) 1707","172006","0","172","6","0","172","101"
"Udgiftsregnskab med bilag 1707","172102","0","172","102","0","172","171"
"Indtægt (J. C. Ziege og Martin Aspach) 1708","172172","0","172","172","0","172","384"
"Indtægt (M. D. Günther og Adolf Rümpler) 1708","172385","0","172","385","0","172","528"
"Udgiftsregnskab med bilag 1706","173001","0","173","1","0","173","19"
"Indtægt (M. D. Günther og Adolf Rümpler) 1708","173025","0","173","25","0","173","130"
"Udgiftsregnskab med bilag 1708","173131","0","173","131","0","173","201"
"Indtægt (Martin Aspach og J. C. Ziege) 1709","173202","0","173","202","0","173","379"
"Indtægt (Adolf Rümpler og M. D. Günther) 1709","173380","0","173","380","0","173","495"
"Indtægt (Adolf Rümpler og M. D. Günther) 1709","174007","0","174","7","0","174","95"
"Udgiftsregnskab med bilag 1709","174096","0","174","96","0","174","130"
"Indtægt (J. C. Ziege og Joakim Henrici) 1710","174131","0","174","131","0","174","303"
"Indtægt (Adolf Rümpler og M. Aspach) 1710","174304","0","174","304","0","174","474"
"Udgiftsregnskab med bilag 1710","174475","0","174","475","0","174","514"
"Indtægt (Joakim Henrici og J. C. Ziege) 1711","175006","0","175","6","0","175","186"
"Indtægt (Martin Aspach og A. Rümpler, Hugo Ditmer Bølcke) 1711","175187","0","175","187","0","175","370"
"Indtægt Fregatten Gravensten 1711","175371","0","175","371","0","175","442"
"Udgiftsregnskab med bilag 1711","175443","0","175","443","0","175","495"
"Indtægt (Joakim Henrici og J. C. Ziege) 1712","175496","0","175","496","0","175","515"
"Indtægt (Joakim Henrici og J. C. Ziege) 1712","176006","0","176","6","0","176","170"
"Indtægt (Hugo Ditmer Bølcke og M. Aspach) 1712","176171","0","176","171","0","176","352"
"Udgiftsregnskab med bilag 1712","176353","0","176","353","0","176","389"
"Indtægt (J. C. Ziege og Joakim Henrici) 1713","176390","0","176","390","0","176","529"
"Indtægt (J. C. Ziege og Joakim Henrici) 1713","177006","0","177","6","0","177","95"
"Indtægt (M. Aspach og H. D. Bølcke) 1713","177096","0","177","96","0","177","308"
"Udgiftsregnskab med bilag 1713","177309","0","177","309","0","177","353"
"Indtægt (J. C. Ziege og Joakim Henrici) 1714","177354","0","177","354","0","177","537"
"Indtægt (J. C. Ziege og Joakim Henrici) 1714","178006","0","178","6","0","178","70"
"Indtægt (Martin Aspach og H. D. Bølcke) 1714","178071","0","178","71","0","178","304"
"Udgiftsregnskab med bilag 1714","178305","0","178","305","0","178","360"
"Indtægt (Joakim Henrici og J. C. Ziege) 1715","178361","0","178","361","0","178","530"
"Indtægt (H. D. Bølcke og M. Aspach) 1715","179006","0","179","6","0","179","168"
"Udgiftsregnskab med bilag 1715","179169","0","179","169","0","179","210"
"Indtægt (Joakim Henrici og J. C. Ziege) 1716","179211","0","179","211","0","179","357"
"Indtægt (M. Aspach og H. D. Bølcke) 1716","179358","0","179","358","0","179","494"
"Udgiftsregnskab med bilag 1716","180006","0","180","6","0","180","45"
"Indtægt (Joakim Henrici og J. C. Ziege) 1717","180046","0","180","46","0","180","192"
"Indtægt (M. Aspach og H. D. Bølcke) 1717","180193","0","180","193","0","180","327"
"Udgiftsregnskab med bilag 1717","180328","0","180","328","0","180","360"
"Indtægt (Joakim Henrici og J. C. Ziege) 1718","180361","0","180","361","0","180","522"
"Indtægt (M. Aspach og H. D. Bølcke) 1718","181007","0","181","7","0","181","153"
"Udgiftsregnskab med bilag 1718","181154","0","181","154","0","181","193"
"Indtægt (J. C. Ziege og Joakim Henrici) 1719","181194","0","181","194","0","181","409"
"Indtægt (M. Aspach og H. D. Bølcke) 1719","181410","0","181","410","0","181","526"
"Indtægt (M. Aspach og H. D. Bølcke) 1719","182006","0","182","6","0","182","96"
"Udgiftsregnskab med bilag 1719","182097","0","182","97","0","182","144"
"Indtægt (J. C. Ziege og Joakim Henrici) 1720","182145","0","182","145","0","182","402"
"Indtægt (H. D. Bølcke og M. Aspach) 1720","182403","0","182","403","0","182","525"
"Indtægt (H. D. Bølcke og M. Aspach) 1720","183006","0","183","6","0","183","123"
"Udgiftsregnskab med bilag 1720","183124","0","183","124","0","183","188"
"Indtægt (J. C. Ziege og Joakim Henrici) 1721","183189","0","183","189","0","183","454"
"Indtægt (M. Aspach og H. D. Bølcke) 1721","183455","0","183","455","0","183","535"
"Indtægt (M. Aspach og H. D. Bølcke) 1721","184006","0","184","6","0","184","153"
"Udgiftsregnskab med bilag 1721","184154","0","184","154","0","184","201"
"Indtægt (J. C. Ziege og Joakim Henrici) 1722","184202","0","184","202","0","184","491"
"Indtægt (M. Aspach og H. D. Bølcke) 1722","184492","0","184","492","0","184","531"
"Indtægt (M. Aspach og H. D. Bølcke) 1722","185006","0","185","6","0","185","197"
"Udgiftsregnskab med bilag 1722","185198","0","185","198","0","185","238"
"Indtægt (Joakim Henrici og J. C. Ziege) 1723","185239","0","185","239","0","185","540"
"Indtægt (H. D. Bølcke og M. Aspach) 1723","186006","0","186","6","0","186","233"
"Udgiftsregnskab med bilag 1723","186234","0","186","234","0","186","280"
"Indtægt (J. C. Ziege og Joakim Henrici) 1724","187006","0","187","6","0","187","312"
"Indtægt (H. D. Bølcke og M. Aspach) 1724","187313","0","187","313","0","187","551"
"Udgiftsregnskab med bilag 1724","188006","0","188","6","0","188","56"
"Indtægt (J. C. Ziege og Joakim Henrici) 1725","188057","0","188","57","0","188","371"
"Indtægt (M. Aspach og H. D. Bølcke) 1725","188372","0","188","372","0","188","539"
"Indtægt (M. Aspach og H. D. Bølcke) 1725","189006","0","189","6","0","189","123"
"Udgiftsregnskab med bilag 1725","189124","0","189","124","0","189","164"
"Indtægt (Joakim Henrici og J. C. Ziege) 1726","189165","0","189","165","0","189","465"
"Indtægt (H. D. Bølcke og M. Aspach) 1726","189466","0","189","466","0","189","519"
"Indtægt (H. D. Bølcke og M. Aspach) 1726","190006","0","190","6","0","190","241"
"Udgiftsregnskab med bilag 1726","190242","0","190","242","0","190","284"
"Indtægt (J. C. Ziege og Johan Daniel Planitz) 1727","190285","0","190","285","0","190","522"
"Indtægt (J. C. Ziege og Johan Daniel Planitz) 1727","191007","0","191","7","0","191","68"
"Indtægt (M. Aspach og Hans Georg Faith) 1727","191069","0","191","69","0","191","328"
"Udgiftsregnskab med bilag 1727","191329","0","191","329","0","191","382"
"Indtægt (J. C. Ziege og J. D. Planitz) 1728","191383","0","191","383","0","191","527"
"Indtægt (J. C. Ziege og J. D. Planitz) 1728","192006","0","192","6","0","192","146"
"Indtægt (Hans Georg Faith og Eberhardt) 1728","192147","0","192","147","0","192","437"
"Udgiftsregnskab med bilag 1728","192438","0","192","438","0","192","483"
"Indtægt (J. C. Ziege og J. D. Planitz) 1729","192484","0","192","484","0","192","531"
"Indtægt (J. C. Ziege og J. D. Planitz) 1729","193006","0","193","6","0","193","274"
"Indtægt (Hans Georg Faith og Eberhardt) 1729","193275","0","193","275","0","193","539"
"Indtægt (Hans Georg Faith og Eberhardt) 1729","194006","0","194","6","0","194","85"
"Udgiftsregnskab med bilag 1729","194086","0","194","86","0","194","164"
"Indtægt (J. C. Ziege og J. D. Planitz) 1730","194165","0","194","165","0","194","466"
"Indtægt (Hans Georg Faith og Eberhardt) 1730","194467","0","194","467","0","194","530"
"Indtægt (Hans Georg Faith og Eberhardt) 1730","195006","0","195","6","0","195","265"
"Udgiftsregnskab med bilag 1730","195266","0","195","266","0","195","545"
"Udgiftsregnskab med bilag 1730","196006","0","196","6","0","196","105"
"Indtægt (J. C. Ziege og J. D. Planitz) 1731","196106","0","196","106","0","196","413"
"Indtægt (Nicolai Christopher v. Heilsberg og H. G. Faith) 1731","196414","0","196","414","0","196","542"
"Indtægt (Nicolai Christopher v. Heilsberg og H. G. Faith) 1731","197006","0","197","6","0","197","183"
"Udgiftsregnskab med bilag 1731","197184","0","197","184","0","197","311"
"Indtægt (J. D. Planitz og J. C. Ziege) 1732","197312","0","197","312","0","197","527"
"Indtægt (J. D. Planitz og J. C. Ziege) 1732","198006","0","198","6","0","198","75"
"Indtægt (N. Chrf. v. Heilsberg og H. G. Faith) 1732","198077","0","198","77","0","198","418"
"Udgiftsregnskab med bilag 1732","198419","0","198","419","0","198","519"
"Indtægt (Joh. Jak. Günther og J. C. Ziege) 1733","199006","0","199","6","0","199","287"
"Indtægt (N. Chrf. v. Heilsberg og H. G. Faith) 1733","199288","0","199","288","0","199","542"
"Indtægt (N. Chrf. v. Heilsberg og H. G. Faith) 1733","200006","0","200","6","0","200","88"
"Udgiftsregnskab med bilag 1733","200089","0","200","89","0","200","189"
"Indtægt (J. J. Günther og J. C. Ziege) 1734","200190","0","200","190","0","200","453"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1734","200454","0","200","454","0","200","547"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1734","201005","0","201","5","0","201","217"
"Udgiftsregnskab med bilag 1734","201218","0","201","218","0","201","329"
"Indtægt (J. J. Günther og J. C. Ziege) 1735","201330","0","201","330","0","201","513"
"Indtægt (J. J. Günther og J. C. Ziege) 1735","202007","0","202","7","0","202","105"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1735","202106","0","202","106","0","202","417"
"Udgiftsregnskab med bilag 1735","202418","0","202","418","0","202","535"
"Indtægt (J. J. Günther og J. C. Ziege) 1736","203007","0","203","7","0","203","225"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1736","203226","0","203","226","0","203","530"
"Udgiftsregnskab med bilag 1736","204007","0","204","7","0","204","103"
"Indtægt (Johan Jak. Günther og J. C. Ziege) 1737","204104","0","204","104","0","204","403"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1737","204404","0","204","404","0","204","539"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1737","205006","0","205","6","0","205","194"
"Udgiftsregnskab med bilag 1737","205195","0","205","195","0","205","332"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1738","205333","0","205","333","0","205","535"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1738","206006","0","206","6","0","206","118"
"Indtægt (J. J. Günther og Falk Fursmann) 1738","206119","0","206","119","0","206","388"
"Udgiftsregnskab med bilag 1738","206389","0","206","389","0","206","469"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1739","206470","0","206","470","0","206","534"
"Indtægt (N. C. v. Heilsberg og H. G. Faith) 1739","207006","0","207","6","0","207","265"
"Indtægt (J. J. Günther og Falk Fursmann) 1739","207266","0","207","266","0","207","539"
"Indtægt (J. J. Günther og Falk Fursmann) 1739","208006","0","208","6","0","208","42"
"Udgiftsregnskab med bilag 1739","208043","0","208","43","0","208","163"
"Indtægt (H. G. Faith og N. C. v. Heilsberg) 1740","208164","0","208","164","0","208","491"
"Indtægt (J. J. Günther og Falk Fursmann) 1740","208492","0","208","492","0","208","534"
"Indtægt (J. J. Günther og Falk Fursmann) 1740","209006","0","209","6","0","209","295"
"Udgiftsregnskab med bilag 1740","209296","0","209","296","0","209","419"
"Indtægt (H. G. Faith og N. C. v. Heilsberg) 1741","209420","0","209","420","0","209","548"
"Indtægt (H. G. Faith og N. C. v. Heilsberg) 1741","210006","0","210","6","0","210","205"
"Indtægt (J. J. Günther og Falk Fursmann) 1741","210206","0","210","206","0","210","484"
"Udgiftsregnskab med bilag 1741","210485","0","210","485","0","210","535"
