"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nr. 2, 1. bind 1829","258988","48329661","314","194","48330094","314","627"
"Nr. 2, 1. bind 1829","258989","48330095","315","2","48330217","315","121"
"Nr. 2, 2. bind 1829","258990","48330218","315","122","48330737","315","641"
"Anhang 1829","258991","48330738","316","2","48330784","316","48"
"Nr. 2, 1. bind 1830","258992","48330785","316","50","48331329","316","594"
"Nr. 2, 2. bind 1830","258993","48331330","317","2","48331860","317","532"
"Anhang 1830","258994","48331861","318","2","48331906","318","47"
"Nr. 2, 1. bind 1831","258995","48331907","318","48","48332408","318","549"
"Nr. 2, 1. bind 1831","258996","48332409","319","2","48332443","319","36"
"Nr. 2, 2. bind 1831","258997","48332444","319","37","48332959","319","552"
"Nr. 2, 1. bind 1832","258998","48332960","320","2","48333456","320","498"
"Nr. 2, 1. bind 1832","258999","48333457","321","2","48333510","321","55"
"Nr. 2, 2. bind 1832","259000","48333511","321","56","48333960","321","505"
"Anhang 1832","259001","48333961","321","506","48333988","321","533"
"Nr. 2, 1. bind 1833","259002","48333990","322","2","48334503","322","515"
"Nr. 2, 2. bind 1833","259003","48334504","323","3","48334958","323","456"
"Nr. 2, 1. bind 1834","259004","48334959","324","2","48335311","324","354"
"Anhang nr. 2, 1. bind 1834","259005","48335312","324","355","48335589","324","632"
"Nr. 2, 2. bind 1834","259006","48335590","325","2","48336044","325","456"
"Nr. 2, 1. bind 1835","259007","48336045","325","457","48336088","325","500"
"Nr. 2, 1. bind 1835","259008","48336089","326","2","48336328","326","241"
"Nr. 2, 2. bind 1835","259009","48336329","326","242","48336550","326","463"
"Nr. 2, 3. bind 1835","259010","48336551","326","464","48336726","326","639"
"Nr. 2, 3. bind 1835","259011","48336727","327","2","48336825","327","100"
"Nr. 2, 4. bind 1835","259012","48336826","327","101","48337062","327","337"
"Nr. 2, 1. bind 1836","259013","48337063","327","338","48337354","327","629"
"Nr. 2, 2. bind 1836","259014","48337355","328","2","48337639","328","287"
"Nr. 2, 3. bind 1836","259015","48337640","328","288","48337927","328","575"
"Nr. 2, 4. bind 1836","259016","48337928","329","2","48338193","329","267"
"Nr. 2, 1. bind 1837","259017","48338194","329","268","48338506","329","580"
"Anhang nr. 2, 1. bind 1837","259018","48338507","329","581","48338529","329","603"
"Nr. 2, 2. bind 1837","259019","48338530","330","2","48338838","330","312"
"Nr. 2, 3. bind 1837","259020","48338839","330","314","48339117","330","592"
"Nr. 2, 4. bind 1837","259021","48339118","330","593","48339169","330","644"
"Nr. 2, 4. bind 1837","259022","48339170","331","2","48339401","331","233"
"Nr. 2, 1. bind 1838","259023","48339402","331","234","48339701","331","533"
"Nr. 2, 2. bind 1838","259024","48339702","331","534","48339813","331","645"
"Nr. 2, 2. bind 1838","259025","48339814","332","2","48340010","332","198"
"Anhang nr. 2, 2. bind 1838","259026","48340011","332","199","48340052","332","240"
"Nr. 2, 3. bind 1838","259027","48340053","332","241","48340392","332","580"
"Nr. 2, 4. bind 1838","259028","48340393","333","2","48340658","333","267"
"Nr. 2, 1. bind 1839","259029","48340659","333","268","48340965","333","574"
"Nr. 2, 2. bind 1839","259030","48340966","333","575","48341037","333","646"
"Nr. 2, 2. bind 1839","259033","48341405","334","2","48341642","334","239"
"Anhang nr. 2, 2. bind 1839","259031","48341038","334","240","48341095","334","297"
"Nr. 2, 3. bind 1839","259032","48341096","334","298","48341404","334","606"
"Anhang nr. 2, 3. bind 1839","259034","48341643","335","2","48341701","335","60"
"Nr. 2, 4. bind 1839","259035","48341702","335","61","48342005","335","364"
"Nr. 2, 1. bind 1840","259036","48342006","336","2","48342307","336","303"
"Anhang nr. 2, 1. bind 1840","259037","48342308","336","304","48342328","336","324"
