polity_name,source,layer_year,entity_area_name,truhart_id,SUM_IAC_all,SUM_Inter_state,SUM_Intra_state,SUM_HYDE_pop,mean_elevation,mean_open_terrain,inner_asia_border_dist,landform,warm_water_coast
Pereyaslav-Rus,Euratlas 1100,1100,Pereyaslavl,16.15,,,,66358.44266,137.6531375,0,0,Continent,0
Pereyaslav-Rus,Euratlas 1200,1200,Pereyaslavl,16.15,,,,514814.0597,137.6531375,0.407874016,0,Continent,0
(Pereyaslav-Rus),Euratlas 1300,1300,Pereyaslavl,16.15,1,1,0,287902.4124,137.6531375,0.142165759,0,Continent,0
,,1100,Novgorod-Seversk,16.154,,,,36881.95939,174.0840012,0,0,Continent,0
Novgorod-Seversk,Euratlas 1200,1200,Novgorod-Seversk,16.154,,,,79159.3122,174.0840012,0,0,Continent,0
(Severia),Euratlas 1300,1300,Novgorod-Seversk,16.154,,,,46862.61398,174.0840012,0,0,Continent,0
Murom-Ryazan,Euratlas 1200,1200,Ryazan,16.16,,,,112396.1399,158.7049628,0,0,Continent,0
Ryazan,Euratlas 1500,1500,Ryazan,16.16,,,,189040.7267,158.7049628,0,0,Continent,0
Vladimir-Suzdal,Euratlas 1200,1200,Vladimir,16.17,1,2,0,383532.8361,139.0469664,0,0,Continent,0
(Vladimir),Euratlas 1300,1300,Vladimir,16.17,,,,15756.74205,139.0469664,0,52.35801735,Continent,0
Western Kipchak,Geacron 1300,1300,Sir Orda,16.191,4,3,1,2989400.96,143.8214603,0.584861515,0,Continent,1
Golden Horde,Euratlas 1400,1400,Sir Orda,16.191,2,2,1,3156590.741,143.8214603,0.627995529,0,Continent,1
Golden Horde,Euratlas 1500,1500,Sir Orda,16.191,,,,250653.1804,143.8214603,0.398341887,0,Continent,0
,,1300,Galic,16.204,,,,104932.8776,429.8303178,0,82.4427221,Continent,0
,,1400,Galic,16.204,,,,118256.1596,429.8303178,0,70.01021547,Continent,0
(Moscow),Euratlas 1300,1300,Moskva,16.231,1,1,0,93893.46513,167.618419,0,0,Continent,0
Muscovy,Euratlas 1400,1400,Moskva,16.231,2,2,0,434291.1923,167.618419,0.000408247,0,Continent,0
Muscovy,Euratlas 1500,1500,Moskva,16.231,3,6,1,3276743.538,167.618419,0.069234819,0,Continent,1
Muscovy,Euratlas 1600,1600,Russia,16.261,1,12,5,3924306.383,317.0511062,0.152741954,0,Continent,1
Muscovy Rus,Euratlas 1700,1700,Russia,16.261,1,2,7,9974260.504,317.0511062,0.066275693,0,Continent,1
Russia,Euratlas 1800,1800,Russia,16.261,,,,43993704.98,317.0511062,0.130157089,0,Continent,1
(Crimea),Euratlas 1500,1500,Tatar Khanate,16.271,,,,367215.6988,89.57296204,0.932249322,0,Continent,1
,,1600,Tatar Khanate,16.271,,,,453369.7487,89.57296204,0.929321204,0,Continent,1
