terr_name,terr_id
von Scheinitz,0S0035
von Schlieben,0S0036
Schaffhauser Geschlecht der Am Stadt zu Randeck-Gailingen,0S0037
von Schellenstein,0S0038
Wolf und Walter von Stein,0S0039
von Schortmann,0S0040
von Salders,0S0041
Samptleben,0S0042
von Schlippenbach,0S0043
Hans von Schertwitz,0S0047
Schwarzburg-Wachsenburg,0S0048
Schwarzburg-Leutenberg,0S0049
von Starkenberg,0S0050
Schwarzburg-Ranis,0S0051
Poppo von der Sorbenmark,0S0052
Reichsministerialen von Sondershausen,0S0053
Ministerialen von Sonneberg,0S0054
Herren von Strünkede,0S0055
von Strele,0S0056
Kloster Semmrizt-Blesen,0S0057
Szwenka,0S0058
Landvogt von Schlick,0S0059
von Schiebell,0S0060
von Stutterheim,0S0061
Solms(-Laubach)-Baruth,0S0062
von Sparr,0S0063
von Sonnenwalde,0S0064
von Schamotuli,0S0065
Schönforst,0S0067
Grafen von Saffenberg,0S0068
Herren von Schönforst,0S0069
Herren von Stolberg,0S0070
von Saldern,0S0071
Herren von Salza,0S0072
von Steinberg,0S0073
von Sandau,0S0074
Grafen von Sangershausen,0S0075
Schenken von Syden (Sydow),0S0076
Pfalzgrafen von Goseck,0S0078
Familie von Stralendorf,0S0080
Freiherren von Schellenberg,0S0081
von Schebelin,0S0082
von Spening,0S0083
von Sanitz,0S0084
von Schindel,0S0085
von Stegelitz,0S0086
von Steinkeller,0S0087
von Steinwehr,0S0088
von Sparfeld,0S0089
Schmeling,0S0090
Stegelitz,0S0091
Swenzonen,0S0092
Skarzewski,0S0093
von Schmettau,0S0094
Szobocki,0S0095
Sierpska,0S0096
Swinarski,0S0097
von Schlieffen,0S0098
von Schaff,0S0099
von Schleinitz,0S0100
Schleswig-Holstein-Hadersleben,0S0101
von Seidlitz,0S0102
von Schönaich,0S0103
Skuwski,0S0104
von Saurma/Sauermann,0S0105
von Sokolowsky,0S0106
Spithko von Molsten,0S0107
Kloster Sprottau,0S0108
Sobieski,0S0109
Schwerin(-Wittenburg-)Tecklenburg,0S0110
Stolberg-Königstein,0S0111
Sponheim-Heinsberg,0S0112
Sponheim(-Heinsberg)-Blankenheim,0S0113
Sponheim-Kreuznach,0S0114
Sponheim-Bolanden,0S0115
(Sponheim-)Sayn,0S0116
Solms(-Lich)-Laubach (ältere Linie),0S0117
Solms(-Baruth)-Laubach (jüngere Linie),0S0118
Schonberg in der Eifel,0S0119
Seydlitz,0S0120
Schierholz,0S0121
Grafen von Salzwedel,0S0122
Freiherren von Schwerin (Schwerin-Altlandsberg),0S0123
Herren von Tomburg,0T0001
von Twiste,0T0002
Edlen de Truna,0T0003
Tetzel; Bürger von Nürnberg,0T0004
Grafen von Tilly,0T0005
Familie von Trützscher,0T0006
Ortsadel von Thannhausen,0T0007
von Tharandt,0T0008
Riklis von Taubenheim,0T0009
Herren von Tannroda,0T0010
Herren von Torgow (zu Zossen),0T0011
Nikolaus Tomicki,0T0012
Nikolaus von Tomice,0T0013
Peter Cordebog von Trzebawie,0T0014
vom Trott,0T0015
Herrschaft Tomberg,0T0016
von Troschke,0T0017
Trebus; (nahe Berlin-Strausberg),0T0018
Tafelgut,0T0019
von Thangel,0T0020
Trzezka,0T0021
Troyen,0T0022
von Treskow,0T0023
Stift Trebnitz,0T0024
Tattenbach,0T0025
Teck-Oberndorf,0T0026
Tschechoslowakische Republik,0T0027
Unbekannte Herrschaft,0U0001
Dominikanerinnenkloster St. Ursula (Augsburg),0U0002
von Uchtenhagen,0U0003
von Uschersleben und Greiffenburg,0U0004
von Unruh,0U0005
von Viermünden,0V0001
Kurfürst Rupprechts Viztum in Neustadt,0V0002
Bezelin von Villingen,0V0003
(Jümgste) Linie der Veringen-Nellenburg,0V0004
von Volmestein,0V0006
Stift Vreden,0V0007
von Vockenrode,0V0008
von Vidante,0V0009
Schenken von Vargula (Tautenburg; Dornburg),0V0005
Valois (Frankreich),0V0010
Valois-Orléans (Frankreich),0V0011
Vasa (Schweden),0V0012
Vasa (Polen),0V0013
Veldenz-Geroldseck,0V0014
Dietrich von Vahlen,1V0002
Herren von Wunnenstein,0W0003
Kloster Weißenburg,0W0004
Kloster Wadgassen,0W0005
Herren von Wöhr,0W0007
Herren von Waldau,0W0008
Grafen Werner,0W0009
Grafschaft Wasserburg (am Inn),0W0010
Johanniterhaus von Wölchingen,0W0011
Württemberg-Neuenstadt,0W0012
Landhofmeisterin von Würben,0W0013
Grafen/Reichsgrafen von Würben,0W0014
Gottfried von Winnenden,0W0015
Herren von Wöllhausen,0W0016
Herren von Werd (Geschlecht der Mangold) (Donauwörth),0W0017
Herren von Wernberg,0W0018
von Weinsberg,0W0019
Wartenberger,0W0020
Haus Welfenstein,0W0021
Stöffeln von Winbrech,0W0022
