city_id,comment,time_point,building,buildgen,newbuild,uncertainty,range
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1700,9,4,1,2,2
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1700,3,1,1,0,4
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1709,1,1,0,0,0
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1715,13,6,1,0,0
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1735,1,1,0,0,0
1022,Kirche 1331 genannt; Hospital 1542; Rathaus na; 1,1325,1,1,1,2,2
1022,Kirche 1331 genannt; Hospital 1542; Rathaus na; 2,1542,13,6,1,0,0
1023,Stadtkirche St.Georg wsl 14.Jh. Erbaut; Rathaus 1877 abgebrannt;,1300,1,1,1,0,4
1024,"Rathaus 1595 erbaut;Kirche 1338 erwähnt, Neubau 1732; ",1325,1,1,1,2,2
1024,"Rathaus 1595 erbaut;Kirche 1338 erwähnt, Neubau 1732; ",1595,5,2,1,0,0
1024,"Rathaus 1595 erbaut;Kirche 1338 erwähnt, Neubau 1732; ",1732,1,1,0,0,0
1025,"Rathaus na; Kirche 1428, Neubau 1750;",1428,1,1,1,0,0
1025,"Rathaus na; Kirche 1428, Neubau 1750;",1750,1,1,0,0,0
1026,Rathaus 1774 abgetragen; Zweites Rathaus 18.Jh. Dominikanerkloster 1428;,1428,2,1,1,0,0
1026,Rathaus 1774 abgetragen; Zweites Rathaus 18.Jh. Dominikanerkloster 1428;,1700,5,2,1,0,4
1026,Rathaus 1774 abgetragen; Zweites Rathaus 18.Jh. Dominikanerkloster 1428;,1750,5,2,1,2,2
1027,"Kirche mit Glockenturm abgebrannt 1410, 1600 erneuert, 1724 erweitert; Ordenshaus 1693 schlossartig ausgebaut; Rathaus 1405 abgebrannt; ",1400,5,2,1,2,2
1027,"Kirche mit Glockenturm abgebrannt 1410, 1600 erneuert, 1724 erweitert; Ordenshaus 1693 schlossartig ausgebaut; Rathaus 1405 abgebrannt; ",1400,1,1,1,2,2
1027,"Kirche mit Glockenturm abgebrannt 1410, 1600 erneuert, 1724 erweitert; Ordenshaus 1693 schlossartig ausgebaut; Rathaus 1405 abgebrannt; ",1600,1,1,1,0,0
1027,"Kirche mit Glockenturm abgebrannt 1410, 1600 erneuert, 1724 erweitert; Ordenshaus 1693 schlossartig ausgebaut; Rathaus 1405 abgebrannt; ",1693,3,1,0,0,0
1027,"Kirche mit Glockenturm abgebrannt 1410, 1600 erneuert, 1724 erweitert; Ordenshaus 1693 schlossartig ausgebaut; Rathaus 1405 abgebrannt; ",1724,1,1,0,0,0
1028,"Rathaus 1608, Neubau 1773; Ev. Kirche 1580; Ref. Kirche auf Markt 1778; ",1580,1,1,1,0,0
1028,"Rathaus 1608, Neubau 1773; Ev. Kirche 1580; Ref. Kirche auf Markt 1778; ",1608,5,2,1,0,0
1028,"Rathaus 1608, Neubau 1773; Ev. Kirche 1580; Ref. Kirche auf Markt 1778; ",1773,5,2,0,0,0
1028,"Rathaus 1608, Neubau 1773; Ev. Kirche 1580; Ref. Kirche auf Markt 1778; ",1778,1,1,1,0,0
1029,"Rathaus 1754; Kirche in der Altstadt 2.H.16.Jh., Neubau 1685; Salzburger Kirche 1739; Neustädtische ref. Kirche 1736;",1550,1,1,1,0,3
1029,"Rathaus 1754; Kirche in der Altstadt 2.H.16.Jh., Neubau 1685; Salzburger Kirche 1739; Neustädtische ref. Kirche 1736;",1685,1,1,1,0,0
1029,"Rathaus 1754; Kirche in der Altstadt 2.H.16.Jh., Neubau 1685; Salzburger Kirche 1739; Neustädtische ref. Kirche 1736;",1736,1,1,1,0,0
1029,"Rathaus 1754; Kirche in der Altstadt 2.H.16.Jh., Neubau 1685; Salzburger Kirche 1739; Neustädtische ref. Kirche 1736;",1739,1,1,1,0,0
1029,"Rathaus 1754; Kirche in der Altstadt 2.H.16.Jh., Neubau 1685; Salzburger Kirche 1739; Neustädtische ref. Kirche 1736;",1754,5,2,1,0,0
