cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
177,Bar-le-duc,France,48.78,5.17,214,river north sea,False,True,3000.0,4000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
181,Bari,Italy,41.12,16.87,3,med,False,True,3000.0,3000.0,10000.0,6000.0,8000.0,0,1,0,0,0,0,1,,
182,Barletta,Italy,41.32,16.28,7,med,False,True,7000.0,10000.0,13000.0,8000.0,8000.0,0,1,0,0,0,0,1,,
183,Barmen,Germany,51.28,7.22,191,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
185,Barrafranca,Italy,37.37,14.2,450,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
186,Basel,Switzerland,47.55,7.58,250,river north sea,True,True,4000.0,5000.0,7000.0,10000.0,10000.0,1,0,0,0,0,1,0,,
187,Bassano,Italy,45.77,11.73,119,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,0,1,,
188,Bastia,France,42.7,9.45,1,med,False,True,0.0,0.0,0.0,1000.0,1000.0,0,1,0,0,0,0,1,,
191,Bautzen,Germany,51.18,14.48,205,river north sea,True,True,3000.0,7000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,,
192,Bayeux,France,49.27,-0.7,55,river north sea,False,True,3000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
193,Bayonne,France,43.48,-1.48,6,river north sea,False,True,3000.0,4000.0,5000.0,3000.0,7000.0,1,0,0,0,0,1,0,,
194,Bayreuth,Germany,49.95,11.58,343,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
196,Beaucaire,France,43.8,4.63,1,river mediterranean,False,True,3000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,0,1,,
197,Beaune,France,47.03,4.83,193,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
198,Beauvais,France,49.43,2.08,65,river north sea,False,True,5000.0,7000.0,10000.0,6000.0,10000.0,1,0,0,0,0,1,0,,
200,Beckum,Germany,51.75,8.03,100,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
201,Bedarieux,France,43.62,3.17,309,river mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,1,,
204,Bekes,Hungary,46.77,21.13,85,river black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,
205,Bekescsaba,Hungary,46.67,21.09,90,land black sea,False,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,0,0,,
207,Belfort,France,47.63,6.87,152,river north sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
212,Bella,Italy,40.77,15.55,662,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
213,Belluno,Italy,46.15,12.22,390,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
215,Belpasso,Italy,37.58,14.97,551,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
218,Benevento,Italy,41.13,14.75,119,river mediterranean,False,True,3000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,0,1,,
