cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1200,pop1300,pop1400,pop1500,pop1600,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l1200,l1300,l1400,l1500,l1600,g_crash,g_recov
542,Delft,Netherlands,52.0,4.35,2,river north sea,True,True,5000.0,6000.0,7000.0,12000.0,20000.0,1,0,0,0,0,1,0,8.517193191416238,8.699514748210191,8.85366542803745,9.392661928770137,9.903487552536127,0.15415067982725894,0.5389965007326865
543,Dendermonde,Belgium,51.03,4.12,6,river north sea,True,True,5000.0,9000.0,5000.0,5000.0,5000.0,1,0,0,0,0,1,0,8.517193191416238,9.104979856318357,8.517193191416238,8.517193191416238,8.517193191416238,-0.5877866649021186,0.0
547,Dessau,Germany,51.83,12.23,60,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,8.006367567650246,0.0,0.6931471805599454
548,Deventer,Netherlands,52.25,6.17,7,river north sea,True,True,6000.0,6000.0,5000.0,7000.0,7000.0,1,0,0,0,0,1,0,8.699514748210191,8.699514748210191,8.517193191416238,8.85366542803745,8.85366542803745,-0.18232155679395312,0.33647223662121206
550,Diest,Belgium,50.98,5.05,22,river north sea,True,True,1000.0,2000.0,6000.0,5000.0,4000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,8.699514748210191,8.517193191416238,8.294049640102028,1.0986122886681091,-0.18232155679395312
555,Dinant,Belgium,50.27,4.92,96,river north sea,True,True,4000.0,5000.0,6000.0,5000.0,5000.0,1,0,0,0,0,1,0,8.294049640102028,8.517193191416238,8.699514748210191,8.517193191416238,8.517193191416238,0.18232155679395312,-0.18232155679395312
556,Dinkelsbuehl,Germany,49.07,10.35,442,river black sea,True,True,1000.0,2000.0,4000.0,3000.0,4000.0,1,0,0,0,0,0,0,6.907755278982137,7.600902459542082,8.294049640102028,8.006367567650246,8.294049640102028,0.6931471805599454,-0.2876820724517817
560,Doebeln,Germany,51.12,13.12,158,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,1000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,6.907755278982137,0.0,0.6931471805599454
565,Dordrecht,Netherlands,51.8,4.67,1,north sea + river,True,True,3000.0,8000.0,8000.0,10000.0,18000.0,1,1,0,0,0,1,0,8.006367567650246,8.987196820661973,8.987196820661973,9.210340371976184,9.798127036878302,0.0,0.2231435513142106
568,Dortmund,Germany,51.52,7.47,86,land north sea,True,True,4000.0,7000.0,9000.0,8000.0,7000.0,0,0,1,0,0,1,0,8.294049640102028,8.85366542803745,9.104979856318357,8.987196820661973,8.85366542803745,0.25131442828090655,-0.11778303565638382
