city_id,year,old_terr,new_terr,old_type,new_type,type_change,foreign_rule
7036,1624,H0103,A060,noble,noble,5,
7036,1657,A060,S039,noble,noble,11,
7036,1738,S039,A060,noble,noble,3,
7037,1320,B374,W400,noble,noble,3,
7037,1348,W400,1F0001,noble,noble,0,
7037,1350,1F0001,W400,noble,noble,0,
7037,1351,W400,0B0082,noble,noble,0,
7037,1370,0B0082,L339,noble,noble,9,
7037,1437,L339,H010,noble,noble,9,B316
7037,1457,H010,0P0046,noble,noble,9,B316
7037,1471,0P0046,0J0012,noble,noble,3,U034
7037,1479,0J0012,0H0071,noble,noble,7,B316
7037,1490,0H0071,0J0012,noble,noble,7,B316
7037,1525,0J0012,H0101,noble,noble,7,B316
7037,1619,H0101,H0103,noble,noble,7,B316
7037,1635,H0103,A060,noble,noble,7,
7037,1657,A060,S039,noble,noble,7,
7037,1738,S039,A060,noble,noble,11,
7038,1320,B374,W400,noble,noble,3,
7038,1348,W400,1F0001,noble,noble,0,
7038,1350,1F0001,W400,noble,noble,0,
7038,1351,W400,0B0082,noble,noble,0,
7038,1354,0B0082,L102,noble,noble,0,
7038,1424,L102,M010,noble,church,0,
7038,1447,M010,D063,church,church,0,
7038,1463,D063,B3741,church,noble,0,
7038,1471,B3741,A1620,noble,unknown,3,
7038,1486,A1620,B3742,unknown,noble,11,
7038,1535,B3742,0K0033,noble,noble,11,
7038,1571,0K0033,B3742,noble,noble,3,
7039,1320,B374,W400,noble,noble,3,
7039,1348,W400,1F0001,noble,noble,0,
7039,1350,1F0001,W400,noble,noble,0,
7039,1351,W400,0B0082,noble,noble,0,
7039,1373,0B0082,L339,noble,noble,5,
7039,1417,L339,A1620,noble,unknown,0,
7039,1440,A1620,B3741,unknown,noble,11,
7039,1471,B3741,A1620,noble,unknown,3,
7039,1486,A1620,B3742,unknown,noble,11,
7040,1320,B374,W400,noble,noble,3,
7040,1348,W400,1F0001,noble,noble,0,
7040,1350,1F0001,W400,noble,noble,0,
7040,1351,W400,0B0082,noble,noble,0,
7040,1373,0B0082,L339,noble,noble,5,
7040,1417,L339,A1620,noble,unknown,0,
7040,1440,A1620,B3741,unknown,noble,11,
7040,1471,B3741,A1620,noble,unknown,3,
7040,1486,A1620,B3742,unknown,noble,11,
7041,1553,H140,B3742,noble,noble,8,
7042,1320,B374,W400,noble,noble,3,
7042,1348,W400,1F0001,noble,noble,0,
7042,1350,1F0001,W400,noble,noble,0,
7042,1351,W400,0B0082,noble,noble,0,
7042,1373,0B0082,L339,noble,noble,5,
7042,1417,L339,A1620,noble,unknown,0,
7042,1440,A1620,B3741,unknown,noble,11,
7042,1471,B3741,A1620,noble,unknown,3,
7042,1486,A1620,B3742,unknown,noble,11,
7043,1304,W2890,B374,unknown,noble,0,
7043,1320,B374,W400,noble,noble,0,
7043,1348,W400,1F0001,noble,noble,0,
7043,1350,1F0001,W400,noble,noble,0,
7043,1351,W400,0B0082,noble,noble,0,
7043,1356,0B0082,S416,noble,noble,0,
7043,1368,S416,L339,noble,noble,0,B316
7043,1425,L339,W2890,noble,unknown,0,
7043,1485,W2890,A060,unknown,noble,11,
7043,1657,A060,S039,noble,noble,11,
7043,1738,S039,A060,noble,noble,3,
7044,1304,W2890,B374,unknown,noble,5,
7044,1320,B374,W400,noble,noble,3,
7044,1348,W400,1F0001,noble,noble,0,
7044,1350,1F0001,W400,noble,noble,0,
7044,1351,W400,0B0082,noble,noble,0,
7044,1370,0B0082,L339,noble,noble,9,B316
7044,1437,L339,H010,noble,noble,3,B316
7044,1457,H010,0P0046,noble,noble,3,B316
7044,1471,0P0046,0J0012,noble,noble,3,U034
7044,1479,0J0012,0H0071,noble,noble,7,B316
7044,1490,0H0071,0J0012,noble,noble,7,B316
7044,1525,0J0012,H0101,noble,noble,7,B316
7044,1619,H0101,H0103,noble,noble,7,B316
7044,1635,H0103,A060,noble,noble,7,
7044,1657,A060,S039,noble,noble,7,
7044,1738,S039,A060,noble,noble,3,
7045,1320,B374,W400,noble,noble,3,
7045,1351,W400,0B0082,noble,noble,0,
7045,1373,0B0082,L339,noble,noble,5,
7045,1417,L339,A1620,noble,unknown,0,
7045,1440,A1620,B3741,unknown,noble,11,
7045,1471,B3741,A1620,noble,unknown,3,
7045,1486,A1620,B3742,unknown,noble,11,
7046,1320,B374,W400,noble,noble,3,
7046,1348,W400,1F0001,noble,noble,0,
7046,1350,1F0001,W400,noble,noble,0,
7046,1351,W400,0B0082,noble,noble,0,
7046,1373,0B0082,L339,noble,noble,5,
7046,1417,L339,A1620,noble,unknown,5,
7046,1440,A1620,B3741,unknown,noble,5,
7046,1471,B3741,A1620,noble,unknown,5,
7046,1486,A1620,B3742,unknown,noble,5,
7047,1320,B374,W400,noble,noble,3,
7047,1348,W400,1F0001,noble,noble,0,
7047,1350,1F0001,W400,noble,noble,0,
7047,1351,W400,0B0082,noble,noble,0,
7047,1373,0B0082,L339,noble,noble,5,
7047,1417,L339,A1620,noble,unknown,0,
7047,1440,A1620,B3741,unknown,noble,11,
7047,1471,B3741,A1620,noble,unknown,11,
7047,1486,A1620,B3742,unknown,noble,11,
7048,1304,W2890,B374,unknown,noble,5,
7048,1320,B374,W400,noble,noble,5,
7048,1348,W400,1F0001,noble,noble,5,
7048,1350,1F0001,W400,noble,noble,5,
7048,1351,W400,0B0082,noble,noble,5,
