terr_id,terr_name,ruler_type,subtype
L262,Liugas,noble,family_line
L263,Liuhgouue (Lewa; Gau um Lüttich),noble,family_line
L264,Liupinatal Leobental,noble,family_line
L265,Liutpoldinger; Luitpoldinger,noble,family_line
L266,Livinen,noble,family_line
L267,Livland,noble,family_line
L268,Lixfeld,noble,family_line
L269,Lobdeburg,noble,family_line
L270,Lobenhausen,noble,family_line
L271,Lobenstein (=H341 Hofer von Lobenstein (Freiherren; Reichsritter),noble,knight_lord
L272,Lobenstein(Thüringen) (Burg; Herrschaft),noble,lordship
L273,Lobkowitz,noble,family_line
L274,Loboduburg marcha,noble,family_line
L275,Lobodungouwe (pagus Lobounensis),noble,family_line
L276,Lobositz,noble,family_line
L277,Locarno; Luggarus,noble,family_line
L278,Loch,noble,family_line
L279,Lochau,noble,family_line
L280,Lochinger,noble,family_line
L281,Lochner von Hüttenbach,noble,family_line
L282,Lochner von Loch,noble,family_line
L283,Lochtropgau; Locdorp; Lohthorp; Gau südlich der Ruhr,noble,family_line
L284,Lodi,noble,family_line
L285,Loganahi (Loganahgouwe; Lognai; pagus Loganensis. Logeneher marca),noble,family_line
L286,Logne,noble,family_line
L287,Logni,noble,family_line
L288,Lohra,noble,family_line
L289,Lomacensis (Gau westlich der Maas),noble,family_line
L290,Lombardei,noble,family_line
L291,Lomersheim,noble,family_line
L292,Lommegau (Gau westlich der Maas),noble,family_line
L293,Lommersum,noble,family_line
L294,Londorf,noble,family_line
L295,Lonerstatt; Lonnerstadt,noble,family_line
L296,Looz,noble,family_line
L297,Looz-Corswarem ,noble,family_line
L298,Lorch,noble,family_line
L299,Lorsch,noble,family_line
L300,Losa,noble,family_line
L301,Loschwitz; Loschwiz; Löschwitz; Lüschwitz ,noble,family_line
L302,Lösenich; Lösnich,noble,family_line
L303,Losenstein,noble,family_line
L304,Loslau; Wodzislaw Slaski,noble,family_line
L305,Lösnich,noble,family_line
L306,Loßburg,noble,family_line
L307,Lothringen,noble,family_line
L308,Lottum ,noble,family_line
L309,Löw zu Bruckberg,noble,family_line
L310,Löwen,noble,family_line
L311,Löwenberg,noble,family_line
L312,Löwenstein (Hessen),noble,family_line
L313,Löwenstein-Wertheim,noble,family_line
L314,Löwenstein-Wertheim-Rosenberg ,noble,family_line
L315,Lübeck (Hochstift; Fürstentum),church,bishopric
L316,Lübeck (Reichsstadt),self,imperial_city
L317,Lucca ,noble,family_line
L318,Lüchau,noble,family_line
L319,Lüders,noble,family_line
L320,Lüdinghausen,noble,family_line
L321,Ludowinger,noble,family_line
L322,Lugano,noble,family_line
L323,Lügenfeld,noble,family_line
L324,Luitpoldinger,noble,family_line
L325,Luminensis,noble,family_line
L326,Lungau,noble,family_line
L327,Lunhane marcha,noble,family_line
L328,Lupfen,noble,family_line
L329,Lure; Lüders,noble,family_line
L330,Lurntal,noble,family_line
L331,Lusici,noble,family_line
L332,Lütetsburg,noble,family_line
L333,Lutter,noble,family_line
L334,Lüttich,noble,family_line
L335,Lüttichgau,noble,family_line
L336,Lützelburg,noble,family_line
L337,Lützelburg ,noble,family_line
L338,Lützelstein,noble,family_line
L339,(Limburg-)Luxemburg,noble,family_line
L340,Luzern,noble,family_line
L341,Lychen,noble,family_line
L342,Lynar,noble,family_line
M001,Maasgau,noble,family_line
M002,Maasland (Masalant; Niedermaasland),noble,family_line
M003,Maastricht (Reichsstadt),self,imperial_city
M004,Macaire (Reichsritter),noble,knight_lord
M005,Machwitz (Reichsritter),noble,knight_lord
M006,Maden (Dorf; Herrschaft),noble,lordship
M007,Madfeldgau (Matfeld; Gau zwischen Diemel und Almequelle),noble,family_line
M008,Madschiller (Reichsritter),noble,knight_lord
M009,Mägdeberg (Herrschaft),noble,lordship
M010,Magdeburg (Erzstift; Herzogtum),church,archbishopric
M011,Magdeburg (Stadt),noble,family_line
M012,Magenes (Gau),noble,family_line
M013,Magenheim (Herrschaft),noble,lordship
M014,Maggia; Maiental (Tal; Herrschaft),noble,lordship
M015,Magolsheim (Reichsstadt; Herrschaft),self,imperial_city
M016,Mahlberg (Reichsstadt; Herrschaft),self,imperial_city
