cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
1133,Malbork,Poland,54.03,19.02,False,True,1044,Marienburg
1142,Mannheim,Germany,49.48,8.48,True,True,20024,Mannheim
1148,Marburg,Germany,50.82,8.77,True,True,15092,Marburg
1152,Marienberg,Germany,50.65,13.17,True,True,9082,Marienberg i. S.
1181,Meiningen,Germany,50.57,10.42,True,True,10053,Meiningen
1182,Meissen,Germany,51.17,13.47,True,True,9087,Meissen
1187,Memmingen,Germany,47.98,10.18,True,True,23084,Memmingen
1193,Merseburg,Germany,51.35,11.98,True,True,11096,Merseburg
1196,Mettmann,Germany,51.25,6.97,True,True,14073,Mettmann
1211,Minden,Germany,52.28,8.92,True,True,13104,Minden
1221,Mittweida,Germany,50.98,12.98,True,True,9088,Mittweida
1224,Moenchengladbach,Germany,50.18,6.45,True,True,18077,Pruem
1281,Muelheim an der Ruhr,Germany,51.42,6.83,True,True,14077,Muelheim a. d. Ruhr
1282,Muenchen,Germany,48.13,11.57,True,True,23092,Muenchen
1283,Muenster,Germany,51.95,7.62,True,True,13105,Muenster
1309,Nauen,Germany,52.6,12.87,True,True,7091,Nauen
1310,Naumburg,Germany,51.15,11.8,True,True,11101,Naumburg (Saale)
1314,Neubrandenburg,Germany,53.55,13.25,True,True,4026,Neubrandenburg
1315,Neuburg,Germany,48.73,11.18,True,True,23095,Neuburg a. d. Donau
1318,Neuruppin,Germany,52.92,12.8,True,True,7093,Neu Ruppin
1319,Neuss,Germany,51.2,6.68,True,True,14079,Neuss
1320,Neustrelitz,Germany,53.35,13.07,True,True,4030,Neustrelitz
1321,Neuwied,Germany,50.42,7.45,True,True,18067,Neuwied
1352,Noerdlingen,Germany,48.85,10.5,True,True,23105,Noerdlingen
1357,Norden,Germany,53.6,7.2,True,True,12085,Norden
1358,Nordhausen,Germany,51.5,10.78,True,True,11104,Nordhausen
1381,Nuernberg,Germany,49.45,11.07,True,True,22094,Nuernberg
1384,Nysa,Poland,50.48,17.33,False,True,8096,Neisse
1385,Oberhausen,Germany,51.47,6.87,True,True,14082,Oberhausen
1394,Offenbach,Germany,50.13,8.78,True,True,15106,Offenbach
1396,Oldenburg,Germany,53.15,8.22,True,True,12091,Oldenburg
1397,Oldenburg,Germany,54.28,10.87,True,True,5034,Oldenburg (Holstein)
1404,Olsztyn,Poland,53.78,20.5,False,True,1002,Allenstein
1409,Opole,Poland,50.68,17.92,False,True,8109,Oppeln
