city_id,name,lat,lon,legal_capacity_score_1250,legal_capacity_score_1300,legal_capacity_score_1350,legal_capacity_score_1400,legal_capacity_score_1450,legal_capacity_score_1500,merchant_capital_score_1250,merchant_capital_score_1300,merchant_capital_score_1350,merchant_capital_score_1400,merchant_capital_score_1450,merchant_capital_score_1500,noble_extraction_score_1250,noble_extraction_score_1300,noble_extraction_score_1350,noble_extraction_score_1400,noble_extraction_score_1450,noble_extraction_score_1500,imputed_1250,imputed_1300,imputed_1350,imputed_1400,imputed_1450,imputed_1500,peasant_mobility_score_1250,peasant_mobility_score_1300,peasant_mobility_score_1350,peasant_mobility_score_1400,peasant_mobility_score_1450,peasant_mobility_score_1500
22031,Eibelstadt,49.724724,10.000834,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,2,True,True,True,True,True,True,1,1,1,1,2,1
22032,Eichstaett,48.890835,11.185,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,3,3
22033,Ellingen,49.060555,10.967778,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,1,2,2,2
22034,Eltmann,49.97139,10.664444,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22035,Erlangen,49.595001,11.004723,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,2,3,2,True,True,True,True,True,True,1,1,1,1,1,1
22036,Feuchtwangen,49.1675,10.331388,2,3,3,2,2,2,0,0,0,0,1,1,1,0,0,2,1,2,True,True,True,True,True,True,2,2,2,1,2,1
22037,Fladungen,50.522221,10.143056,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22038,Forchheim,49.720001,11.058056,1,1,2,2,2,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22039,Fuerth,49.477222,10.989722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,True,True,True,True,True,True,1,1,1,1,1,1
22040,Gefrees,50.094723,11.738611,0,0,0,1,2,2,0,0,0,0,0,0,1,1,2,1,2,2,True,True,True,True,True,True,0,0,0,1,1,1
22041,Gemuenden a. Main,50.051109,9.7005558,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22042,Gerolzhofen,49.899723,10.350833,1,1,1,2,2,3,0,0,0,0,0,0,1,1,2,1,1,1,True,True,True,True,True,True,1,1,1,2,2,2
22043,Goldkronach,50.010834,11.686666,1,1,1,2,2,2,0,0,0,0,0,0,1,1,2,1,2,2,True,True,True,True,True,True,1,1,1,2,1,1
22044,Graefenberg,49.645832,11.248611,1,1,2,2,2,2,0,0,1,1,1,1,1,1,2,2,1,1,True,True,True,True,True,True,1,1,1,1,2,2
22045,Greding,49.046391,11.353056,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22046,Gunzenhausen,49.113335,10.759167,1,2,2,2,2,2,0,0,0,0,1,1,1,1,2,2,1,2,True,True,True,True,True,True,1,2,1,1,2,1
22047,Hallstadt,49.928333,10.875,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,1,1,1,1
22048,Hammelburg,50.115276,9.8908329,1,1,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22049,Hassfurt,50.031387,10.506389,2,2,2,2,2,3,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22050,Heideck,49.132221,11.126389,1,1,1,1,2,3,0,0,0,0,0,1,1,1,1,2,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22051,Heilsbronn,49.337776,10.790277,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,1,2,True,True,True,True,True,True,1,1,1,1,1,1
22052,Helmbrechts,50.236668,11.715834,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,2,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22053,Herrieden,49.232777,10.497222,1,2,2,2,3,3,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,2,2,2,2,2
22054,Hersbruck,49.509445,11.4325,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,True,True,True,True,True,True,2,2,1,1,1,2
22055,Herzogenaurach,49.568333,10.883611,1,2,2,2,3,3,0,0,0,0,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,2,2,2,2,2
22056,Hilpoltstein,49.189167,11.191667,1,1,2,2,2,2,0,0,0,0,0,0,1,1,1,3,2,1,True,True,True,True,True,True,1,1,2,1,1,2
22057,Hoechstadt a. d. Aisch,49.702778,10.805555,1,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,2,2,2,2,2
22058,Hof,50.316387,11.913333,1,1,2,2,2,2,0,0,0,0,0,0,1,1,1,2,2,2,True,True,True,True,True,True,1,1,2,1,1,1
22059,Hofheim i. Ufr.,50.139168,10.524445,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,True,True,True,True,True,True,1,1,1,1,1,1
22060,Hohenberg a. d. Eger,50.096668,12.222777,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22061,Hollfeld,49.936668,11.293056,1,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,1,1,2,2
22062,Iphofen,49.703609,10.259167,1,2,2,2,3,3,0,0,1,1,1,1,1,1,3,1,1,1,True,True,True,True,True,True,1,2,1,2,2,2
22063,Karlstadt,49.961945,9.7638893,2,2,2,2,3,3,0,0,0,0,1,1,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22064,Kirchenlamitz,50.151669,11.950556,0,0,1,2,2,2,0,0,0,0,0,0,1,1,1,1,2,2,True,True,True,True,True,True,0,0,1,2,1,1
22065,Kitzingen,49.736946,10.161111,1,1,2,2,2,2,0,0,0,0,0,1,1,1,1,1,2,2,True,True,True,True,True,True,1,1,2,2,1,1
22066,Klingenberg a. Main,49.783333,9.1830559,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22067,Koenigsberg i. Bay.,50.080833,10.569167,1,1,1,2,2,2,0,0,1,1,1,1,1,1,2,3,2,1,True,True,True,True,True,True,1,1,1,1,1,2
22068,Koenigshofen i. Grabfeld,50.299168,10.467222,2,2,2,3,3,3,0,0,1,1,1,1,1,1,1,2,2,2,True,True,True,True,True,True,2,2,2,1,1,1
22069,Kronach,50.238888,11.325277,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,1,2,2,2,2,2
22070,Kulmbach,50.108055,11.455556,1,1,1,3,3,3,0,0,0,1,1,1,1,1,2,1,2,2,True,True,True,True,True,True,1,1,1,2,1,1
22071,Kupferberg,50.139446,11.576667,0,1,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,1,2,2,2,2
22072,Langenzenn,49.495277,10.795555,1,1,1,3,3,3,0,0,0,0,0,0,1,1,1,2,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22073,Lauf a. d. Pegnitz,49.511391,11.277778,1,2,2,2,2,2,0,0,0,0,0,0,1,1,2,2,2,1,True,True,True,True,True,True,1,2,1,1,1,2
