city_id,name,lat,lon,nodesid,lat_band_1250,lat_band_1300,lat_band_1350,lat_band_1400,lat_band_1450,lat_band_1500,dist_river_km_1250,dist_river_km_1300,dist_river_km_1350,dist_river_km_1400,dist_river_km_1450,dist_river_km_1500,elev_m_1250,elev_m_1300,elev_m_1350,elev_m_1400,elev_m_1450,elev_m_1500,population_1250,population_1300,population_1350,population_1400,population_1450,population_1500,pop_growth_50yr_1250,pop_growth_50yr_1300,pop_growth_50yr_1350,pop_growth_50yr_1400,pop_growth_50yr_1450,pop_growth_50yr_1500,agricultural_surplus_score_1250,agricultural_surplus_score_1300,agricultural_surplus_score_1350,agricultural_surplus_score_1400,agricultural_surplus_score_1450,agricultural_surplus_score_1500
14070,Leverkusen,51.028057,6.9944444,,middle,middle,middle,middle,middle,middle,6.1,6.1,6.1,6.1,6.1,6.1,60.0,60.0,60.0,60.0,60.0,60.0,1000.0,1000.0,1000.0,1000.0,1500.0,2000.0,1.0,1.0,1.0,1.0,1.5,1.333,2,2,2,2,2,2
14071,Linnich,50.978889,6.2672224,,middle,middle,middle,middle,middle,middle,31.3,31.3,31.3,31.3,31.3,31.3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14072,Meckenheim,50.625557,7.0397224,,middle,middle,middle,middle,middle,middle,11.7,11.7,11.7,11.7,11.7,11.7,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14073,Mettmann,51.251667,6.978611,,middle,middle,middle,middle,middle,middle,15.8,15.8,15.8,15.8,15.8,15.8,140.0,140.0,140.0,140.0,140.0,140.0,2000.0,2000.0,1500.0,1000.0,2000.0,3000.0,1.0,1.0,0.75,0.667,2.0,1.5,0,0,0,0,0,2
14074,Moenchen Gladbach,51.194443,6.4313889,,middle,middle,middle,middle,middle,middle,18.3,18.3,18.3,18.3,18.3,18.3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14075,Moers,51.453335,6.6277776,,middle,middle,middle,middle,middle,middle,6.9,6.9,6.9,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14076,Monschau,50.555279,6.2391667,,middle,middle,middle,middle,middle,middle,43.6,43.6,43.6,43.6,43.6,43.6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14077,Muelheim a. d. Ruhr,51.43111,6.8797221,,middle,middle,middle,middle,middle,middle,3.9,3.9,3.9,3.9,3.9,3.9,63.0,63.0,63.0,63.0,63.0,63.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2
14078,Muenstereifel,50.556667,6.7649999,,middle,middle,middle,middle,middle,middle,31.7,31.7,31.7,31.7,31.7,31.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14079,Neuss,51.198612,6.6913891,5304.0,middle,middle,middle,middle,middle,middle,0.3,0.3,0.3,0.3,0.3,0.3,40.0,40.0,40.0,40.0,40.0,40.0,2500.0,3000.0,2500.0,2000.0,2000.0,2000.0,1.25,1.2,0.833,0.8,1.0,1.0,2,2,2,2,2,2
