city_id,name,lat,lon,year,trade_access_continuous,trade_access_score,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,has_own_staple,on_trade_route,trade_access_source
14019,Duesseldorf,51.224167,6.7800002,1300,4.346,2,1.325,0.048,6.226,10,0,1,viabundus
11155,Torgau,51.558334,13.004167,1600,4.3448,2,6.156,0.212,0.0,12,0,1,viabundus
11127,Schkeuditz,51.396111,12.221666,1450,4.3444,2,17.739,2.185,12.265,20,0,1,viabundus
10082,Stadtlengsfeld,50.782223,10.130834,1650,4.3438,2,30.294,3.739,17.405,33,0,1,viabundus
11092,Loebejuen,51.637222,11.901667,1450,4.3434,2,7.347,0.976,16.839,13,0,1,viabundus
5042,Schleswig,54.514721,9.5663891,1600,4.3424,2,16.222,0.071,0.475,17,0,1,viabundus
5042,Schleswig,54.514721,9.5663891,1650,4.3424,2,16.222,0.071,0.475,17,0,1,viabundus
13067,Hamm,51.678055,7.8169446,1400,4.3416,2,10.804,0.059,12.695,14,0,1,viabundus
13109,Nieheim,51.80389,9.1099997,1450,4.341,2,20.768,1.146,18.872,21,0,1,viabundus
13037,Detmold,51.935276,8.8786116,1550,4.3409,2,26.463,1.461,0.0,26,0,1,viabundus
10066,Rastenberg,51.175556,11.419723,1500,4.3406,2,54.081,1.208,6.067,29,0,1,viabundus
12028,Dassel,51.801945,9.686944,1350,4.3404,2,19.084,1.365,12.256,20,0,1,viabundus
11105,Oebisfelde,52.435001,10.987223,1600,4.3395,2,36.077,0.529,18.312,28,0,1,viabundus
11105,Oebisfelde,52.435001,10.987223,1650,4.3395,2,36.077,0.529,18.312,28,0,1,viabundus
9093,Naunhof,51.275276,12.593611,1500,4.3392,2,14.231,1.56,10.846,17,0,1,viabundus
13001,Ahaus,52.075832,7.0050001,1500,4.339,2,19.525,0.072,26.848,19,0,1,viabundus
11028,Dessau,51.830833,12.241667,1550,4.3385,3,1.539,1.95,15.064,11,1,1,viabundus
11028,Dessau,51.830833,12.241667,1500,4.3385,2,1.539,1.95,15.064,11,0,1,viabundus
13073,Herford,52.115555,8.6733332,1400,4.3382,2,18.041,0.058,14.266,18,0,1,viabundus
12057,Haseluenne,52.673332,7.4866667,1400,4.3382,2,6.687,0.037,0.275,12,0,1,viabundus
13073,Herford,52.115555,8.6733332,1450,4.3382,2,18.041,0.058,14.266,18,0,1,viabundus
11082,Kroppenstedt,51.941944,11.308611,1600,4.3382,2,29.816,2.765,0.0,31,0,1,viabundus
10020,Eisenberg,50.967499,11.901111,1650,4.3381,2,47.503,2.638,16.619,31,0,1,viabundus
7146,Wittenberge,52.993332,11.751389,1450,4.3379,2,3.938,0.288,21.151,11,0,1,viabundus
11020,Burg b. M.,52.269722,11.854722,1500,4.3379,2,6.617,0.094,17.627,12,0,1,viabundus
11121,Salzwedel,52.852779,11.153334,1450,4.337,2,3.924,0.326,0.653,11,0,1,viabundus
