city_id,name,lat,lon,year,legal_capacity,merchant_capital,agricultural_surplus,peasant_mobility,noble_extraction,conflict_risk,trade_access,composite_raw,composite_0_3,nodesid
3010,Deutsch Krone,53.266666,16.466667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,1413.0
3011,Dramburg,53.533333,15.8,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,1552.0
3012,Driesen (Neumark),52.833332,15.833333,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,1581.0
3013,Falkenburg,53.534443,16.008888,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,1902.0
3014,Fiddichow,53.127777,14.388889,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,16383.0
3015,Flatow,53.362499,17.033056,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,16372.0
3016,Freienwalde i. Pomm.,53.466667,15.35,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,16384.0
3017,Friedeberg (Neumark),52.883335,15.516666,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,2020.0
3018,Gollnow,53.56361,14.828055,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,2281.0
3019,Greifenberg i. Pomm.,53.916111,15.199722,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,2406.0
3020,Greifenhagen,53.252777,14.487778,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,2407.0
3021,Guelzow,53.824165,14.979445,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3022,Hammerstein,53.683056,16.941944,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,2789.0
3023,Hochzeit,53.0,15.95,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,
3024,Jacobshagen,53.356945,15.428611,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16385.0
3025,Jastrow,53.416668,16.816668,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,3392.0
3026,Kallies,53.283333,15.9,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,3500.0
3027,Kammin,53.9725,14.768611,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,3538.0
3028,Koerlin,54.038055,15.876667,1250,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.4000000000000004,1,3958.0
3029,Koeslin,54.190277,16.181667,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,3976.0
3030,Kolberg,54.175835,15.574722,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,3880.0
3031,Kreuz,52.866665,16.016666,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3032,Krojanke,53.283333,16.983334,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16386.0
3033,Kuertow,53.150002,15.55,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,
