city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score
19526,,52.372476,4.893958,1300,1650,,1300,,0.429,0.012,34.763,5,23,0,,0,0,0,0,0,1,2
19537,Paulusbroedersluis,52.371494,4.896887,1300,1650,,1300,,0.481,0.04,34.577,5,23,0,,0,0,0,0,0,1,2
11652,,52.542692,11.973991,1200,1650,,1300,,3.305,0.104,51.066,0,5,0,,0,0,0,0,0,1,2
11665,,51.732132,7.190917,1288,1650,,1300,,2.733,0.204,26.001,14,37,0,,0,0,0,0,0,1,2
19535,Varkenssluis,52.371851,4.895852,1300,1650,,1300,,0.449,0.04,34.643,5,23,0,,0,0,0,0,0,1,2
19527,,52.37622,4.899628,1300,1650,,1300,,0.176,0.044,34.97,5,23,0,,0,0,0,0,0,1,2
19538,,52.371052,4.898518,1300,1650,,1300,,0.538,0.009,34.484,5,23,0,,0,0,0,0,0,1,2
15664,,56.44978217140501,9.413042830285528,1060,1650,,1300,,59.03,0.073,50.012,0,2,0,,0,0,0,0,0,1,2
19988,Ammerbrücke,51.217341,10.45141,1135,1650,,1300,,24.002,0.031,28.516,7,20,0,,0,0,1,0,0,1,2
11669,,51.653904,6.608606,1241,1650,,1300,,0.22,0.193,27.311,10,36,0,,1,0,0,0,0,1,2
12148,,52.629356,4.755565,1254,1650,,1300,,0.63,0.228,64.661,0,12,0,,0,0,0,0,0,1,2
11671,Aardenburg,51.273475,3.44941,1187,1650,,1300,,2.776,0.072,0.0,2,2,1,local,0,0,0,0,0,1,2
11690,,51.849767,5.865526,1230,1650,,1300,,0.285,0.139,0.278,13,41,0,,1,0,0,1,0,1,2
11691,,51.829681,6.242033,1233,1650,,1300,,1.859,0.03,15.443,13,48,0,,0,0,0,0,0,1,2
11692,,51.830317,6.23829,1233,1650,,1300,,1.959,0.043,15.43,13,48,0,,0,0,0,0,0,1,2
11694,,51.830926,6.239053,1233,1650,,1300,,2.017,0.043,15.352,13,48,0,,0,0,0,0,0,1,2
11695,,51.756798,6.396203,1228,1650,,1300,,2.481,0.037,18.867,13,45,0,,0,0,0,0,0,1,2
19524,,55.25389,11.291445,1240,1650,,1300,,140.808,0.025,47.909,1,2,0,,0,0,0,1,1,1,2
19528,Nieuwe Brug,52.376816,4.898797,1300,1650,,1300,,0.159,0.028,35.054,5,23,0,,0,0,0,0,0,1,2
19539,Bushuissluis,52.370986,4.898754,1300,1650,,1300,,0.548,0.009,34.471,5,23,0,,0,0,0,0,0,1,2
11722,Hezelpoort,51.848398,5.85704,1230,1650,,1300,,0.172,0.161,0.553,13,41,0,,0,0,0,0,0,1,2
11724,,51.899422,11.782465,1160,1650,y,1300,,0.358,0.558,27.621,3,13,0,,0,0,0,0,0,1,2
11725,,53.079724,11.462895,1237,1650,,1300,,4.211,0.856,24.64,1,5,0,,1,0,0,0,0,1,2
11734,,51.796595,11.734265,1278,1650,,1300,,0.099,0.226,33.395,4,13,0,,0,0,0,0,0,1,2
11739,,51.79649,11.738007,1278,1650,,1300,,0.165,0.043,33.626,4,13,0,,0,0,0,0,0,1,2
11740,,51.797007,11.737063,1278,1650,,1300,,0.099,0.043,33.541,4,13,0,,0,0,0,0,0,1,2
11745,,54.306722,9.663119,1253,1650,y,1300,,0.054,0.114,79.195,0,5,0,,0,0,1,0,0,1,2
11752,,51.461841,12.641128,1200,1650,,1300,,27.208,0.294,22.934,3,5,0,,0,0,0,0,0,1,2
11755,,52.602186,12.322431,1288,1650,y,1300,,0.035,0.555,69.94,0,2,0,,0,0,0,0,0,1,2
11757,,52.535424,13.205809,1240,1650,y,1300,,0.179,0.082,115.543,0,0,0,,0,0,0,0,0,1,2
