city_id,name,lat,lon,period,pop_T_minus,pop_T,log_pop_T_minus,d_log_pop,predicted_ols,predicted_ar1,predicted_rf,residual_ols
7093,Neu Ruppin,52.923332,12.806389,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,-0.017134413126951742,-0.11614815781829646,0.10244283254607821,1.4034287742468425
7102,Potsdam,52.400276,13.053333,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.04175374231052009,-0.11614815781829646,0.25499452907504583,0.04175374231052009
7104,Prenzlau,53.316666,13.861944,1400-1500,1000.0,1000.0,6.907755278982137,0.0,0.01832837559859879,-0.11614815781829646,0.366220361218531,-0.01832837559859879
7155,Zuellichau,52.083332,15.616667,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.551842661864781,-0.11614815781829646,0.0,-1.551842661864781
8007,Breslau,51.110001,17.032223,1400-1500,10000.0,25000.0,9.210340371976184,0.9162907318741542,1.3791179556028308,-0.36829840128883884,-0.051798492571624555,-0.4628272237286766
8010,Brieg,50.866665,17.483334,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.7304101868734363,-0.11614815781829646,0.1061356510997941,-1.0372630063134909
8023,Fraustadt,51.799999,16.299999,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.7756731808490034,-0.11614815781829646,0.020123855703332204,-1.7756731808490034
8031,Glatz,50.433334,16.666666,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,1.7309025737251176,-0.11614815781829646,0.13903286705988957,-0.3446082126052268
8032,Gleiwitz,50.283333,18.666666,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.7102065398918869,-0.11614815781829646,0.003758157267643695,-1.7102065398918869
8033,Glogau,51.662498,16.085556,1400-1500,2000.0,9000.0,7.600902459542082,1.5040773967762746,1.5869783145857888,-0.19205294451690558,-0.5992608058718201,-0.08290091780951414
8034,Goerlitz,51.155277,14.987778,1400-1500,8000.0,8000.0,8.987196820661973,0.0,0.8956423266559431,-0.34386251791412403,-0.13385200649075524,-0.8956423266559431
8035,Goldberg in Niederschlesien,51.133335,15.916667,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.788605959843147,-0.11614815781829646,0.2635233455113503,-1.788605959843147
8050,Hindenburg O.S.,50.299999,18.783333,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.5765826359033266,-0.11614815781829646,0.006018789854242431,-1.5765826359033266
8051,Hirschberg im Riesengebirge,50.900002,15.733334,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.1068185894990428,-0.11614815781829646,0.0,-0.4136714089390974
8075,Lauban,51.116665,15.3,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.7306289678068174,-0.11614815781829646,0.10157971175256666,-1.037481787246872
8082,Liegnitz,51.208332,16.160278,1400-1500,2000.0,2000.0,7.600902459542082,0.0,1.6752144584629607,-0.19205294451690558,-0.17209823514050804,-1.6752144584629607
8096,Neisse,50.483334,17.333334,1400-1500,4000.0,5000.0,8.294049640102028,0.2231435513142106,1.4620465740598114,-0.2679577312155148,-0.003847240743968881,-1.2389030227456008
8109,Oppeln,50.666668,17.933332,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,1.6968717828521298,-0.11614815781829646,0.09407296411220802,-0.310577421732239
8133,Sagan,51.616665,15.316667,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.6473183885464449,-0.11614815781829646,0.0,-0.9541712079864995
8142,Schweidnitz,50.849998,16.483334,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.2194909284034907,-0.11614815781829646,0.26355057005277943,-0.5263437478435453
8160,Waldenburg (Schles.),50.764999,16.281111,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.010289590297645,-0.11614815781829646,0.0,-1.010289590297645
9008,Bautzen,51.180832,14.4275,1400-1500,5000.0,5000.0,8.517193191416238,0.0,1.4576254335548,-0.2923936145902297,0.09509595331623136,-1.4576254335548
9017,Chemnitz,50.832222,12.924167,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,-0.13918303390858933,-0.11614815781829646,0.036599734581069236,1.2377953225766984
9023,Doebeln,51.119999,13.114722,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.1368016316911238,-0.11614815781829646,0.13608872069559075,0.8299488122510692
9025,Dresden,51.051666,13.736667,1400-1500,4000.0,5000.0,8.294049640102028,0.2231435513142106,-0.3809539218676965,-0.2679577312155148,-0.1665494090963729,0.6040974731819071
9035,Frankenberg/Sa,50.91,13.030556,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.14706483608065568,-0.11614815781829646,0.0,0.14706483608065568
9037,Freiberg,50.914722,13.344167,1400-1500,4000.0,8000.0,8.294049640102028,0.6931471805599454,-0.2796268238309352,-0.2679577312155148,-0.08663198710812466,0.9727740043908806
9045,Glauchau,50.81778,12.542222,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.14480776918733995,-0.11614815781829646,0.0,0.14480776918733995
9047,Grimma,51.235279,12.726944,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,0.01507734517311965,-0.11614815781829646,0.37180082342573173,0.6780698353868257
9049,Grossenhain,51.291943,13.530278,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.18703103239270602,-0.11614815781829646,0.03520999845557296,0.8801782129526514
9070,Leipzig,51.340557,12.375,1400-1500,3000.0,7000.0,8.006367567650246,0.8472978603872043,-0.17484356238212317,-0.23645439836082993,0.08481083719230588,1.0221414227693275
9082,Marienberg i. S.,50.65139,13.159722,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,-0.1349031818229287,-0.11614815781829646,0.0004641610584106777,1.2335154704910378
9087,Meissen,51.159721,13.468611,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.13746891654198312,-0.11614815781829646,0.04074411104700089,0.8306160971019285
9088,Mittweida,50.986668,12.975833,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,-0.1387611342657702,-0.11614815781829646,0.003557411220449115,1.2373734229338793
9113,Pirna,50.960556,13.938889,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.732752882292421,-0.11614815781829646,0.2727948240851816,-1.732752882292421
9115,Plauen,50.495834,12.135278,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.6303915895699355,-0.11614815781829646,0.0,-1.6303915895699355
9122,Reichenbach i. V.,50.621666,12.302778,1400-1500,1000.0,1000.0,6.907755278982137,0.0,1.4700951856675477,-0.11614815781829646,0.10610117765053573,-1.4700951856675477
9133,Schneeberg,50.595001,12.640555,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.12737979780838904,-0.11614815781829646,0.0004641610584106777,0.8205269783683344
9159,Zittau,50.896111,14.806111,1400-1500,5000.0,5000.0,8.517193191416238,0.0,1.3587096228247737,-0.2923936145902297,-0.4152932445052361,-1.3587096228247737
9163,Zwickau,50.718887,12.492222,1400-1500,2000.0,4000.0,7.600902459542082,0.6931471805599454,-0.05422519974555384,-0.19205294451690558,-0.4441321011706456,0.7473723803054992
10002,Altenburg,50.986946,12.437222,1400-1500,3000.0,3000.0,8.006367567650246,0.0,-0.2723661519208407,-0.23645439836082993,-0.03905196374788383,0.2723661519208407
10019,Eisenach,50.977222,10.322222,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,-0.09914219471698771,-0.11614815781829646,0.18812059132562023,1.4854365558368785
10028,Gotha,50.948612,10.703333,1400-1500,3000.0,3000.0,8.006367567650246,0.0,-0.1878077164827694,-0.23645439836082993,-0.34539400657718916,0.1878077164827694
10039,Jena,50.93,11.591666,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.031552954080380946,-0.11614815781829646,0.4347785941727284,0.031552954080380946
10053,Meiningen,50.57111,10.419444,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.10678626707758965,-0.11614815781829646,0.2580964046715976,0.799933447637535
10098,Weimar,50.980556,11.329722,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.025486702825299634,-0.11614815781829646,0.39358431729711185,0.718633883385245
11008,Aschersleben,51.755833,11.455,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.12148370121720142,-0.11614815781829646,0.24964261940099644,0.12148370121720142
11013,Bernburg,51.794167,11.736944,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,0.0031162475264870926,-0.11614815781829646,0.3605138766775174,1.095496041141622
11020,Burg b. M.,52.269722,11.854722,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.07440592734062745,-0.11614815781829646,0.18885591470746907,0.7675531079005729
11028,Dessau,51.830833,12.241667,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.16068238527822576,-0.11614815781829646,0.13848223193063242,0.8538295658381712
11034,Eilenburg,51.459999,12.633333,1400-1500,1000.0,1000.0,6.907755278982137,0.0,0.3966596408866616,-0.11614815781829646,0.18333037614605469,-0.3966596408866616
11035,Eisleben,51.528332,11.547778,1400-1500,4000.0,9000.0,8.294049640102028,0.8109302162163292,-0.4374368978111056,-0.2679577312155148,-0.3126945101960673,1.2483671140274348
11039,Erfurt,50.976944,11.027223,1400-1500,11000.0,19000.0,9.305650551780507,0.5465437063680696,-0.4534426950499695,-0.37873557692938475,-0.38428673312503137,0.9999864014180391
11058,Halberstadt,51.896111,11.047222,1400-1500,4000.0,10000.0,8.294049640102028,0.916290731874156,-0.24829950207622664,-0.2679577312155148,-0.1935366998233204,1.1645902339503826
11060,Halle a. d. S.,51.482224,11.970555,1400-1500,3000.0,7000.0,8.006367567650246,0.8472978603872043,-0.2406236008707452,-0.23645439836082993,-0.28199584554079893,1.0879214612579495
11081,Koethen,51.75111,11.973333,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.19271911944685138,-0.11614815781829646,0.1530758835833345,0.19271911944685138
11084,Langensalza,51.106667,10.649445,1400-1500,5000.0,4000.0,8.517193191416238,-0.2231435513142106,-0.26326018542577256,-0.2923936145902297,-0.4327013971960493,0.040116634111561966
11094,Magdeburg,52.12611,11.6325,1400-1500,10000.0,18000.0,9.210340371976184,0.5877866649021186,-0.3732865427558496,-0.36829840128883884,-0.40795931325549867,0.9610732076579682
