cid,pop1500_bur,pop1500_bai
1363,5000.0,5000.0
1365,7000.0,7000.0
1367,21000.0,42000.0
1381,38000.0,38000.0
1386,3000.0,3000.0
1389,9000.0,9000.0
1393,1000.0,1000.0
1396,2000.0,2000.0
1399,5000.0,5000.0
1409,4000.0,4000.0
1416,5000.0,5000.0
1418,7000.0,7000.0
1420,20000.0,50000.0
1427,8000.0,8000.0
1431,6000.0,10000.0
1439,7000.0,7000.0
1442,2000.0,2000.0
1445,29000.0,29000.0
1451,14000.0,14000.0
1452,55000.0,55000.0
1453,13000.0,13000.0
1464,94000.0,225000.0
1465,16000.0,16000.0
1468,4000.0,4000.0
1470,6000.0,6000.0
1474,16000.0,16000.0
1485,8000.0,8000.0
1489,7000.0,7000.0
1491,12000.0,12000.0
1504,25000.0,25000.0
1514,10000.0,10000.0
1516,5000.0,5000.0
1520,25000.0,25000.0
1521,1000.0,1000.0
1523,4000.0,4000.0
1526,11000.0,30000.0
1533,20000.0,20000.0
1546,4000.0,4000.0
1549,6000.0,6000.0
1551,14000.0,14000.0
1554,1000.0,1000.0
1556,9000.0,32000.0
1560,7000.0,7000.0
1573,10000.0,15000.0
1575,20000.0,29000.0
1578,7000.0,7000.0
1583,5000.0,5000.0
1597,8000.0,8000.0
1598,5000.0,5000.0
1604,22000.0,22000.0
1606,9000.0,9000.0
1608,12000.0,12000.0
1610,1000.0,1000.0
1612,13000.0,13000.0
1616,2000.0,2000.0
1617,5000.0,5000.0
1621,3000.0,3000.0
1624,7000.0,7000.0
1627,10000.0,10000.0
1637,7000.0,7000.0
1639,55000.0,55000.0
1643,7000.0,7000.0
1644,2000.0,2000.0
1648,10000.0,10000.0
1655,5000.0,5000.0
1656,2000.0,2000.0
1657,40000.0,40000.0
1659,2000.0,2000.0
1666,3000.0,15000.0
1672,1000.0,1000.0
1679,12000.0,12000.0
1682,5000.0,5000.0
1691,7000.0,7000.0
1702,4000.0,4000.0
1718,1000.0,1000.0
1719,10000.0,10000.0
1720,5000.0,5000.0
1727,13000.0,13000.0
1730,5000.0,5000.0
1734,4000.0,4000.0
1735,4000.0,4000.0
1738,2000.0,6000.0
1739,3000.0,3000.0
1743,17000.0,17000.0
1751,2000.0,2000.0
1755,14000.0,14000.0
1766,3000.0,3000.0
1771,6000.0,6000.0
1773,45000.0,45000.0
1788,3000.0,3000.0
1789,16000.0,16000.0
1791,4000.0,10000.0
1797,10000.0,10000.0
1806,4000.0,4000.0
1808,50000.0,50000.0
1811,10000.0,10000.0
1821,3000.0,3000.0
1823,3000.0,3000.0
1825,5000.0,5000.0
1836,13000.0,13000.0
1838,12000.0,12000.0
1847,3000.0,3000.0
1849,5000.0,5000.0
1857,4000.0,4000.0
1861,11000.0,11000.0
1878,6000.0,6000.0
1881,6000.0,6000.0
1882,7000.0,7000.0
1886,11000.0,11000.0
1887,20000.0,20000.0
1911,9000.0,9000.0
1912,7000.0,7000.0
1920,5000.0,5000.0
1926,12000.0,12000.0
1929,4000.0,10000.0
1932,4000.0,4000.0
1937,7000.0,7000.0
1942,3000.0,3000.0
1953,1000.0,1000.0
1954,9000.0,9000.0
1966,32000.0,32000.0
1969,3000.0,3000.0
1971,8000.0,8000.0
1974,3000.0,3000.0
1976,15000.0,15000.0
1977,8000.0,8000.0
1983,5000.0,5000.0
1986,11000.0,12000.0
1990,3000.0,3000.0
1991,30000.0,30000.0
1993,35000.0,35000.0
1995,16000.0,60000.0
1999,15000.0,15000.0
2002,12000.0,12000.0
2003,8000.0,8000.0
2010,1000.0,1000.0
2011,11000.0,20000.0
2012,8000.0,8000.0
2014,4000.0,4000.0
2019,2000.0,2000.0
2025,20000.0,20000.0
2026,13000.0,13000.0
2029,16000.0,16000.0
2032,3000.0,3000.0
2033,1000.0,1000.0
2038,25000.0,20000.0
2039,8000.0,8000.0
2044,75000.0,42000.0
2045,15000.0,15000.0
2046,4000.0,4000.0
2049,30000.0,30000.0
2053,5000.0,5000.0
2059,1000.0,1000.0
2067,4000.0,20000.0
2072,100000.0,100000.0
2081,39000.0,50000.0
2086,2000.0,2000.0
2091,17000.0,21000.0
2096,2000.0,2000.0
2099,6000.0,6000.0
2100,5000.0,5000.0
2115,1000.0,1000.0
2125,3000.0,3000.0
2127,12000.0,12000.0
2139,4000.0,4000.0
2148,3000.0,4000.0
2159,1000.0,1000.0
2167,2000.0,2000.0
2180,20000.0,20000.0
2188,2000.0,2000.0
2189,9000.0,9000.0
2190,5000.0,5000.0
2191,2000.0,2000.0
2200,6000.0,8000.0
2201,25000.0,25000.0
2204,7000.0,7000.0
2218,6000.0,6000.0
2220,5000.0,5000.0
2223,20000.0,20000.0
2229,6000.0,6000.0
2232,2000.0,2000.0
2233,4000.0,4000.0
2245,5000.0,5000.0
2249,7000.0,7000.0
2261,16000.0,16000.0
