city_id,name,lat,lon,charter_year,market_year,match_km,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,cid
11016,Bitterfeld,51.625,12.324722,1382.0,1543.0,23.710188055564892,,,,,,1,0,547
11019,Buckau,52.110554,11.632778,1862.0,,1.0673396168036544,8000.0,16000.0,15000.0,10000.0,18000.0,1,0,1124
11020,Burg b. M.,52.269722,11.854722,1100.0,1562.0,1.1871613119911963,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,325
11025,Dardesheim,51.976112,10.838056,1681.0,,18.01257395702677,,,,,,1,0,790
11063,Heiligenstadt,51.378334,10.137777,1227.0,1460.0,21.300230000166575,,,,,,0,0,741
11068,Hohenmoelsen,51.156113,12.099722,900.0,1578.0,10.275470882810199,,,,,,1,0,2168
11086,Bad Lauchstaedt,51.386944,11.866944,1411.0,,8.858464395427598,,,,,,1,0,1193
11105,Oebisfelde,52.435001,10.987223,1448.0,1523.0,14.148971801049761,,,,,,0,0,2193
11111,Osterwieck,51.9725,10.706667,1353.0,1558.0,21.24192424033375,,,,,,1,0,746
12001,Achim,53.012779,9.0327778,1949.0,,16.237117389314086,,,,,,1,0,2077
12002,Alfeld,51.987221,9.8269444,1221.0,1456.0,18.82731507225494,,,,,,0,0,603
12003,Altenau,51.803333,10.4475,1617.0,,8.087962814878672,,,,,,0,0,476
12005,Aurich,53.469723,7.4822221,1539.0,1200.0,21.742044699075826,,,,,,1,1,620
12006,Bassum,52.847778,8.7252779,1929.0,1716.0,26.302425503561892,,,,,,1,0,300
12007,Bentheim,52.302502,7.1594443,1865.0,1746.0,18.570420428320208,,,,,,1,0,1619
12010,Bockenem,52.007778,10.129167,1300.0,,20.00017324749111,,,,,,1,0,824
12011,Bodenwerder,51.975834,9.5119448,1287.0,1287.0,17.701004361344697,,,,,,1,0,795
12012,Borkum,53.587776,6.6644444,1950.0,,35.369932337977005,,,,,,0,1,1357
12014,Bramsche,52.406666,7.978889,1929.0,,15.588274923089779,,,,,,1,0,1431
12016,Braunschweig,52.262222,10.520278,1227.0,1100.0,1.9370159795922655,3000.0,11000.0,12000.0,18000.0,18000.0,1,0,297
12021,Bueckeburg,52.260277,9.0502777,1365.0,,9.131952820989877,,,,,,1,0,1211
12022,Burgdorf,52.446667,10.008611,1398.0,1578.0,19.592079605863642,,,,,,1,0,800
12024,Celle,52.62611,10.080556,1292.0,1306.0,0.6804377755140179,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,417
12026,Cloppenburg,52.846111,8.0433331,1411.0,1668.0,35.79954605718392,,,,,,1,0,1396
12044,Fuerstenau,52.516388,7.6747222,1350.0,1495.0,27.568862538212098,,,,,,1,0,847
12059,Helmstedt,52.227501,11.010278,,1000.0,1.0889500123132863,2000.0,3000.0,2000.0,1000.0,2000.0,0,0,816
12065,Hornburg (Schladen-Werla),52.030277,10.605833,,1500.0,16.377220047373488,,,,,,0,0,2192
