cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop900,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l800,l1000,l1200,l1300,l1400,l1500,elev_z
121,Aschersleben,Germany,51.75,11.45,114,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,-0.3491037010522813
122,Ascoli Piceno,Italy,42.87,13.58,233,river mediterranean,False,True,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,7.600902459542082,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,0.2380566033478381
123,Ascoli Satriano,Italy,41.2,15.57,376,land mediterranean,False,True,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,7.600902459542082,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,7.600902459542082,0.9436357926689899
126,Assisi,Italy,43.07,12.62,424,land mediterranean,False,True,2000.0,2000.0,3000.0,3000.0,4000.0,5000.0,6000.0,4000.0,0,0,1,0,0,0,1,7.600902459542082,8.006367567650246,8.294049640102028,8.517193191416238,8.699514748210191,8.294049640102028,1.180473562511055
127,Asti,Italy,44.9,8.2,117,river mediterranean,False,True,2000.0,2000.0,3000.0,3000.0,4000.0,5000.0,3000.0,8000.0,1,0,0,0,0,0,1,7.600902459542082,8.006367567650246,8.294049640102028,8.517193191416238,8.006367567650246,8.987196820661973,-0.3343013404371522
130,Atessa,Italy,44.07,14.45,435,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,1.234748884766528
131,Ath,Belgium,50.63,3.78,32,river north sea,True,True,0.0,0.0,0.0,1000.0,2000.0,4000.0,3000.0,5000.0,1,0,0,0,0,1,0,,,7.600902459542082,8.294049640102028,8.006367567650246,8.517193191416238,-0.7537015578658088
134,Atri,Italy,42.58,13.97,442,land mediterranean,False,True,1000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,4000.0,0,0,1,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,8.294049640102028,1.2692877262018292
135,Aubagne,France,43.28,5.57,74,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,-0.546468509254002
136,Auch,France,43.67,0.6,133,river north sea,False,True,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,-0.25535541715646387
137,Augsburg,Germany,48.35,10.88,474,river black sea,True,True,3000.0,4000.0,6000.0,9000.0,13000.0,19000.0,12000.0,30000.0,1,0,0,0,0,0,0,8.006367567650246,8.699514748210191,9.472704636443673,9.852194258148577,9.392661928770137,10.308952660644293,1.4271795727632057
138,Augusta,Italy,37.22,15.23,6,med,False,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,-0.8819886831969274
139,Aurillac,France,44.93,2.43,573,land north sea,False,True,0.0,1000.0,1000.0,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,6.907755278982137,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,1.9156574730624647
