city_id,comment,time_point,type_origin,type_category,legal_family,legal_family_own,unused,uncertainty,range,source
1062,"An der Stelle der späteren Stadt lag eine Prussenburg, 1236 zerstört",1236,5,10,,,0,0,0,3
1063,"Handfeste von 1337, ausgestellt vom ermländ. Domkapitel. Lokator war Magister Clerus aus Braunsberg. Kulm. Recht",1337,1,4,K03,,0,0,0,4
1063,Castrum Resel seit 1241,1241,5,10,,,0,0,0,3
1064,Die vom Pomesan. Domkapitel um 1305 ausgestellte Gründungsurk. ist verloren. Erneuert 1314. Kulm. Recht mit Rechtszug nach Marienwerder.,1305,1,0,K03,,0,0,1,4
1064,Die vom Pomesan. Domkapitel um 1305 ausgestellte Gründungsurk. ist verloren. Erneuert 1314. Kulm. Recht mit Rechtszug nach Marienwerder.,1314,3,7,K03,,0,0,0,4
1064,Die vom Pomesan. Domkapitel um 1305 ausgestellte Gründungsurk. ist verloren. Erneuert 1314. Kulm. Recht mit Rechtszug nach Marienwerder.,1305,5,10,,,0,0,1,3
1065,"Die Anlage der Stadt begann unter dem Ordenskomtur von Christburg, Heinrich Zuckschwert, etwa 1299-1301",1299,1,4,,,0,0,0,4
1065,"Gründungsurk. des Komturs Segehard von Schwarzburg 1305, erneuert 1320, erweitert 1334. Kulm. Recht.",1305,1,0,K03,,0,0,0,4
1065,"Die Anlage der Stadt begann unter dem Ordenskomtur von Christburg, Heinrich Zuckschwert, etwa 1299-1301. ",1299,5,10,,,0,0,1,4
1066,Hochmeister Heinrich Dusemer stellte der Stadt 1351 eine Gründungsurk. aus. Kulm. Recht,1351,1,0,K03,,0,0,0,4
1066,Ordensburg gegr. 1319 an Stelle einer alten Prussenburg (?).,1319,5,10,,,0,0,0,3
1067,Sch. wurde 1725 zur Stadt erhoben,1725,1,1,,,0,0,0,4
1067,Als Siedlung 1515 genannt,1515,5,10,,,0,0,0,3
1068,Schl. wurde zus. mit Gumbinnen 1725 zur Stadt erhoben.,1725,1,1,,,0,0,0,4
1068,Erste Beschreibung für einen Siedler 1516,1516,5,10,,,0,0,0,1
1069,"Der Bistumsvogt Heinrich von Lutir u. der Bistumsverweser Domherr Magister Nikolaus stellten 1338 Heiko Wendepfaffe die Handeste einer neuen ""civitas"" S. aus nach kulm. Recht",1338,1,2,K03,,0,0,0,4
1069,Seeburg (1338),1338,5,10,,,0,0,0,1
1070,"Die Stadt S. wurde zwischen 1404 u. 1407 von dem Balgaer Komtur Graf Johann von Gahns angelgt u. erhielt von Hochmeister Konrad von Jungingen seine Gründungsurk., die verloren ist. Erneuerte Handfeste von 1444. Kulm. Recht.",1404,1,0,K03,,0,0,1,4
1070,Ordenshaus 1348 angelegt.,1348,5,10,,,0,0,0,3
1071,"Hochmeister Michael Küchmeister von Sternberg gab 1416 dem Lokator der Stadt eine Gründungsurk. Kulm. Recht, bestätigt 1754",1416,1,0,K03,,0,0,0,4
