city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
1045,Buerger verteidigten Stadt und Burg 1658 und 1659 mit Erfolg,1659,1,e1,0,0,0,0,,,,,"10, 11"
1045,Gustav Adolf eroberte 1628 Stadt und Burg,1628,1,e2,2,0,0,0,30,2,21,7,"10, 11"
1045,Kriege mit Polen 1410-1520,1410,1,f1,0,0,0,5,,,,,"10, 11"
1045,"Zerstoerungen der Stadt 1479,1520,1524",1479,2,a1,0,0,0,0,,,,,"10, 11"
1045,"Zerstoerungen der Stadt 1479,1520,1524",1520,2,a1,0,0,0,2,,,,,"10, 11"
1045,"Zerstoerungen der Stadt 1479,1520,1524",1524,2,a1,0,0,0,0,,,,,"10, 11"
1053,1758 Besetzung durch Russen,1758,3,cd1,0,0,0,0,,,,,"10, 11"
1055,Einfall der Tataren im schwed.-Poln- Kriege 1656: Einaescherung,1656,1,e1,0,0,0,0,,,,,"10, 11"
1055,Einfall der Tataren im schwed.-Poln- Kriege 1656: Einaescherung,1656,2,a3,0,0,0,0,,,,,"10, 11"
1056,1626-35 von Schweden besetzt,1626,3,cd1,0,0,0,2,,,,,"10, 11"
1057,1455 Unterwerfung des Aufstads und Wiederbesetzung der Burg durch die Buendischen,1455,1,f3,0,0,0,0,,,,,"10, 11"
1057,1455 Unterwerfung des Aufstads und Wiederbesetzung der Burg durch die Buendischen,1455,3,cd1,0,0,0,0,,,,,"10, 11"
1057,"1520 und 1525 Stadt durch Polen verwuestet, Burg vergebl. belagert",1520,2,a1,0,1,0,0,,,,,"10, 11"
1057,"1520 und 1525 Stadt durch Polen verwuestet, Burg vergebl. belagert",1520,3,d2,0,1,0,0,,,,,"10, 11"
1057,"1520 und 1525 Stadt durch Polen verwuestet, Burg vergebl. belagert",1525,2,a1,0,1,0,0,,,,,"10, 11"
1057,"1520 und 1525 Stadt durch Polen verwuestet, Burg vergebl. belagert",1525,3,d2,0,1,0,0,,,,,"10, 11"
1071,1626-29 schwed. Besatzung,1626,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
1071,1629-35 brandb. Besatzung,1629,3,cd1,0,0,0,2,,,,,"10, 11"
